0.000000000000000000e+00 -1.375727400999999972e+01 -1.375727400999999972e+01 -1.375727400999999972e+01 -1.375727400999999972e+01
1.000000000000000056e-01 -1.373983695000000083e+01 -1.374007948999999940e+01 -1.374164822999999913e+01 -1.373968711999999925e+01
2.000000000000000111e-01 -1.374428230999999911e+01 -1.374454938000000048e+01 -1.374494969000000033e+01 -1.374442660000000060e+01
2.999999999999999889e-01 -1.374681698000000019e+01 -1.374706852999999995e+01 -1.374702704000000075e+01 -1.374701628000000042e+01
4.000000000000000222e-01 -1.374845486000000072e+01 -1.374868683999999952e+01 -1.374846068999999993e+01 -1.374866027999999929e+01
5.000000000000000000e-01 -1.374960248000000007e+01 -1.374981791999999992e+01 -1.374951302999999925e+01 -1.374980273000000075e+01
5.999999999999999778e-01 -1.375045330999999926e+01 -1.375065571999999925e+01 -1.375032039000000061e+01 -1.375064629000000060e+01
6.999999999999999556e-01 -1.375111083000000001e+01 -1.375130305999999969e+01 -1.375096079000000060e+01 -1.375129689999999982e+01
8.000000000000000444e-01 -1.375163535000000081e+01 -1.375181968999999960e+01 -1.375148214000000024e+01 -1.375181541999999979e+01
9.000000000000000222e-01 -1.375206436000000032e+01 -1.375224243000000079e+01 -1.375191552999999978e+01 -1.375223936999999985e+01
1.000000000000000000e+00 -1.375242242999999931e+01 -1.375259542000000046e+01 -1.375228202999999993e+01 -1.375259319000000069e+01
1.100000000000000089e+00 -1.375272630000000085e+01 -1.375289530000000049e+01 -1.375259643000000054e+01 -1.375289350000000077e+01
1.199999999999999956e+00 -1.375298779000000060e+01 -1.375315329999999925e+01 -1.375286943000000051e+01 -1.375315198000000017e+01
1.300000000000000044e+00 -1.375321547999999972e+01 -1.375337812000000071e+01 -1.375310894999999967e+01 -1.375337711999999968e+01
1.399999999999999911e+00 -1.375341577000000015e+01 -1.375357598000000081e+01 -1.375332099999999969e+01 -1.375357522999999915e+01
1.500000000000000000e+00 -1.375359352000000079e+01 -1.375375189999999925e+01 -1.375351020999999996e+01 -1.375375110000000056e+01
1.600000000000000089e+00 -1.375375247999999928e+01 -1.375390892000000065e+01 -1.375368023000000051e+01 -1.375390842999999919e+01
1.699999999999999956e+00 -1.375389561999999977e+01 -1.375405061999999923e+01 -1.375383393000000076e+01 -1.375405014999999942e+01
1.800000000000000044e+00 -1.375402530000000034e+01 -1.375417889000000038e+01 -1.375397367000000060e+01 -1.375417857000000055e+01
1.899999999999999911e+00 -1.375414340999999929e+01 -1.375429592000000056e+01 -1.375410132999999924e+01 -1.375429557000000003e+01
2.000000000000000000e+00 -1.375425150999999957e+01 -1.375440271999999986e+01 -1.375421848000000047e+01 -1.375440268999999915e+01
2.000000000000000042e-02 -1.373289154999999973e+01 -1.373303297000000001e+01 -1.373713472999999929e+01 -1.373151994999999914e+01
4.000000000000000083e-02 -1.373511960999999992e+01 -1.373529161999999992e+01 -1.373851274999999994e+01 -1.373426468999999983e+01
5.999999999999999778e-02 -1.373696499000000060e+01 -1.373716609000000055e+01 -1.373970100999999921e+01 -1.373644353000000073e+01
8.000000000000000167e-02 -1.373851615999999964e+01 -1.373874106000000062e+01 -1.374073682999999946e+01 -1.373821586000000039e+01
1.000000000000000056e-01 -1.373983695000000083e+01 -1.374007948999999940e+01 -1.374164822999999913e+01 -1.373968711999999925e+01
1.199999999999999956e-01 -1.374097433999999929e+01 -1.374122917000000044e+01 -1.374245673000000068e+01 -1.374092880000000072e+01
1.400000000000000133e-01 -1.374196354000000042e+01 -1.374222600000000050e+01 -1.374317908999999993e+01 -1.374199136000000010e+01
1.600000000000000033e-01 -1.374283145999999967e+01 -1.374309764000000023e+01 -1.374382858999999968e+01 -1.374291144000000031e+01
1.799999999999999933e-01 -1.374359892000000016e+01 -1.374386639999999993e+01 -1.374441589999999991e+01 -1.374371629000000006e+01
2.000000000000000111e-01 -1.374428230999999911e+01 -1.374454938000000048e+01 -1.374494969000000033e+01 -1.374442660000000060e+01
2.200000000000000011e-01 -1.374489467000000076e+01 -1.374515992999999980e+01 -1.374543706999999948e+01 -1.374505835000000076e+01
2.399999999999999911e-01 -1.374544649999999990e+01 -1.374570901999999961e+01 -1.374588392999999975e+01 -1.374562410999999962e+01
2.600000000000000089e-01 -1.374594633999999971e+01 -1.374620555000000088e+01 -1.374629520999999954e+01 -1.374613388999999941e+01
2.800000000000000266e-01 -1.374640123000000003e+01 -1.374665747000000060e+01 -1.374667507000000022e+01 -1.374659574999999911e+01
2.999999999999999889e-01 -1.374681698000000019e+01 -1.374706852999999995e+01 -1.374702704000000075e+01 -1.374701628000000042e+01
3.200000000000000067e-01 -1.374719845000000085e+01 -1.374744603999999981e+01 -1.374735412999999973e+01 -1.374740090000000059e+01
3.400000000000000244e-01 -1.374754976000000006e+01 -1.374779342999999976e+01 -1.374765894000000088e+01 -1.374775411000000069e+01
3.599999999999999867e-01 -1.374787435000000002e+01 -1.374811386999999918e+01 -1.374794370999999948e+01 -1.374807969999999990e+01
3.800000000000000044e-01 -1.374817520999999942e+01 -1.374841093000000036e+01 -1.374821039000000056e+01 -1.374838085000000021e+01
4.000000000000000222e-01 -1.374845486000000072e+01 -1.374868683999999952e+01 -1.374846068999999993e+01 -1.374866027999999929e+01
