3.000000000000000000e+00 -4.133430691567573376e+03 -3.477994729603750557e-01 2.219262067779084191e-01 -4.133430691567573376e+03 -3.477994729638425042e-01 2.219385442297578948e-01 -4.133430691567573376e+03 -3.477994729638425042e-01 1.960339509769113420e-01
3.049999999999999822e+00 -4.133463631441638427e+03 -3.439309174342071174e-01 2.219092494651135894e-01 -4.133463631441638427e+03 -3.439309174334823638e-01 2.219215086268917503e-01 -4.133463631441638427e+03 -3.439309174334965746e-01 1.962776899349023552e-01
3.100000000000000089e+00 -4.133491856361746613e+03 -3.399945425581449854e-01 2.218536136203965725e-01 -4.133491856361746613e+03 -3.399945425544217414e-01 2.218658816061775951e-01 -4.133491856361746613e+03 -3.399945425544359523e-01 1.964559643517418408e-01
3.149999999999999911e+00 -4.133515453608124517e+03 -3.361459653101945833e-01 2.218513782346889229e-01 -4.133515453608124517e+03 -3.361459653089866606e-01 2.218636031423670829e-01 -4.133515453608124517e+03 -3.361459653089724497e-01 1.966498844045645455e-01
3.200000000000000178e+00 -4.133535558307481551e+03 -3.322495207825966190e-01 2.218086367579701346e-01 -4.133535558307481551e+03 -3.322495207842877107e-01 2.218208848630496277e-01 -4.133535558307481551e+03 -3.322495207842450782e-01 1.967787826982174693e-01
3.250000000000000000e+00 -4.133552540414762916e+03 -3.284540547368806074e-01 2.218150479711908929e-01 -4.133552540414762916e+03 -3.284540547367811314e-01 2.218272866772252883e-01 -4.133552540414762916e+03 -3.284540547367811314e-01 1.969223209434574073e-01
3.299999999999999822e+00 -4.133566647504372668e+03 -3.246297032706024766e-01 2.217787686655583457e-01 -4.133566647504372668e+03 -3.246297032680303118e-01 2.217910407422607477e-01 -4.133566647504372668e+03 -3.246297032680161010e-01 1.970013735144107159e-01
3.325000000000000178e+00 -4.133572807464483049e+03 -3.227858537069607792e-01 2.217950463488875812e-01 -4.133572807464483049e+03 -3.227858537098740044e-01 2.218072949902420987e-01 -4.133572807464483049e+03 -3.227858537098597935e-01 1.970614540164348227e-01
3.350000000000000089e+00 -4.133578600864850159e+03 -3.209216995359014390e-01 2.217893665056891450e-01 -4.133578600864850159e+03 -3.209216995326755750e-01 2.218016166128364830e-01 -4.133578600864850159e+03 -3.209216995326471533e-01 1.970960089213065203e-01
3.375000000000000000e+00 -4.133583728883677395e+03 -3.190714460921952877e-01 2.217836909057098183e-01 -4.133583728883677395e+03 -3.190714460890120563e-01 2.217959389322743391e-01 -4.133583728883677395e+03 -3.190714460890404780e-01 1.971245279152071816e-01
3.399999999999999911e+00 -4.133588602798612555e+03 -3.172038628104161262e-01 2.217560783815599734e-01 -4.133588602798612555e+03 -3.172038628087960888e-01 2.217683359750992622e-01 -4.133588602798612555e+03 -3.172038628087818779e-01 1.971278462362846540e-01
3.424999999999999822e+00 -4.133592854971906490e+03 -3.154188218916118558e-01 2.217735647670053822e-01 -4.133592854971906490e+03 -3.154188218913702713e-01 2.217857939737228889e-01 -4.133592854971906490e+03 -3.154188218913702713e-01 1.971652811394761784e-01
3.450000000000000178e+00 -4.133596715341809613e+03 -3.136176716929810482e-01 2.217684403216821920e-01 -4.133596715341809613e+03 -3.136176716880925142e-01 2.217806664008890039e-01 -4.133596715341809613e+03 -3.136176716881209359e-01 1.971773041240538760e-01
3.475000000000000089e+00 -4.133600212630804890e+03 -3.118345520701382156e-01 2.217632343741797740e-01 -4.133600212630804890e+03 -3.118345520712040297e-01 2.217754574458723482e-01 -4.133600212630804890e+03 -3.118345520711756080e-01 1.971839810553888128e-01
3.500000000000000000e+00 -4.133603639698179904e+03 -3.100386993386337053e-01 2.217358939224283176e-01 -4.133603639698179904e+03 -3.100386993369994570e-01 2.217481346715715063e-01 -4.133603639698179904e+03 -3.100386993370563005e-01 1.971659976632906819e-01
3.524999999999999911e+00 -4.133606749134894926e+03 -3.082919289360006587e-01 2.217285204299770385e-01 -4.133606749134894926e+03 -3.082919289368817317e-01 2.217407548856584754e-01 -4.133606749134894926e+03 -3.082919289368817317e-01 1.971607629830884889e-01
