0.000000000000000000e+00 -4.639713283099821410e+02 -2.077887187618898679e-02 3.306641217803729660e-02 -4.639713283099821410e+02 -2.370509455456470960e-02 3.989316911399498622e-02 -4.639713283099821410e+02 -2.077887187594384955e-02 3.306648371802367592e-02 -4.639713283099821410e+02 -2.370509455450076075e-02 3.943746406990555897e-02 -4.639713283099821410e+02 -2.077887187592253326e-02 3.308145840427201279e-02 -4.639713283099821410e+02 -2.370509455433733592e-02 2.165541011773086666e-02
1.000000000000000056e-01 -4.639714004240664735e+02 -2.077450324031815398e-02 3.306832058301978350e-02 -4.639714004240664735e+02 -2.370202926963571599e-02 3.989640815730766121e-02 -4.639714004240664735e+02 -2.077450324022933614e-02 3.306700026917397395e-02 -4.639714004240664735e+02 -2.370202926967124313e-02 3.943825071860374010e-02 -4.639714004240664735e+02 -2.077450324020446715e-02 3.308003223030553386e-02 -4.639714004240664735e+02 -2.370202926976006097e-02 2.165449030368904459e-02
2.000000000000000111e-01 -4.639716172541582182e+02 -2.076151197048758945e-02 3.307428758818531378e-02 -4.639716172541582182e+02 -2.369294939055777149e-02 3.990641986984044820e-02 -4.639716172541582182e+02 -2.076151197033127005e-02 3.306880366018560835e-02 -4.639716172541582182e+02 -2.369294939066790562e-02 3.944093074589716252e-02 -4.639716172541582182e+02 -2.076151197026376849e-02 3.307602577881141315e-02 -4.639716172541582182e+02 -2.369294939049382265e-02 2.165187881749730536e-02
2.999999999999999889e-01 -4.639719752240547450e+02 -2.074011117568375084e-02 3.308472257915084924e-02 -4.639719752240547450e+02 -2.367806559747975825e-02 3.992368921524303005e-02 -4.639719752240547450e+02 -2.074011117547058802e-02 3.307233845654167226e-02 -4.639719752240547450e+02 -2.367806559727370086e-02 3.944606932304850488e-02 -4.639719752240547450e+02 -2.074011117580809582e-02 3.306992245127915453e-02 -4.639719752240547450e+02 -2.367806559748686368e-02 2.164784967986221886e-02
4.000000000000000222e-01 -4.639724586638321853e+02 -2.071038702365157746e-02 3.309967182910966699e-02 -4.639724586638321853e+02 -2.365744604126618356e-02 3.994821743814469528e-02 -4.639724586638321853e+02 -2.071038702382566044e-02 3.307770767231943410e-02 -4.639724586638321853e+02 -2.365744604124841999e-02 3.945381322580487904e-02 -4.639724586638321853e+02 -2.071038702355565420e-02 3.306185857993426680e-02 -4.639724586638321853e+02 -2.365744604106367888e-02 2.164251720500942611e-02
5.000000000000000000e-01 -4.639730385199534339e+02 -2.067223335554757568e-02 3.311867141548319182e-02 -4.639730385199534339e+02 -2.363094764404749526e-02 3.997934020987159442e-02 -4.639730385199534339e+02 -2.067223335543033613e-02 3.308452294569974583e-02 -4.639730385199534339e+02 -2.363094764426421079e-02 3.946369908691949036e-02 -4.639730385199534339e+02 -2.067223335561507724e-02 3.305146679453230263e-02 -4.639730385199534339e+02 -2.363094764407946968e-02 2.163575353649704880e-02
5.999999999999999778e-01 -4.639736826828229823e+02 -2.062553213975704125e-02 3.314118112596986521e-02 -4.639736826828229823e+02 -2.359840687777747803e-02 4.001628785863431403e-02 -4.639736826828229823e+02 -2.062553213960072185e-02 3.309233492807095445e-02 -4.639736826828229823e+02 -2.359840687800129899e-02 3.947518134752314722e-02 -4.639736826828229823e+02 -2.062553213961137999e-02 3.303832798657424519e-02 -4.639736826828229823e+02 -2.359840687791603386e-02 2.162741464801953839e-02
6.999999999999999556e-01 -4.639743643423952335e+02 -2.057029308212676710e-02 3.316690853369053116e-02 -4.639743643423952335e+02 -2.355978755008081293e-02 4.005861093409635032e-02 -4.639743643423952335e+02 -2.057029308200597484e-02 3.310095375558574915e-02 -4.639743643423952335e+02 -2.355978755032239746e-02 3.948802205214363426e-02 -4.639743643423952335e+02 -2.057029308204860740e-02 3.302230752414558879e-02 -4.639743643423952335e+02 -2.355978755017318349e-02 2.161750691771047173e-02
8.000000000000000444e-01 -4.639750605820644296e+02 -2.050659269739796287e-02 3.319565842442173675e-02 -4.639750605820644296e+02 -2.351511651234616807e-02 4.010599252627500277e-02 -4.639750605820644296e+02 -2.050659269733756673e-02 3.311029666511444702e-02 -4.639750605820644296e+02 -2.351511651217919052e-02 3.950210055077008064e-02 -4.639750605820644296e+02 -2.050659269747612257e-02 3.300339512636440986e-02 -4.639750605820644296e+02 -2.351511651226090294e-02 2.160610133783080755e-02
9.000000000000000222e-01 -4.639757495867883108e+02 -2.043449323048207589e-02 3.322714361571499353e-02 -4.639757495867883108e+02 -2.346439665024746546e-02 4.015800155694648765e-02 -4.639757495867883108e+02 -2.043449323046431232e-02 3.312020017200012489e-02 -4.639757495867883108e+02 -2.346439665042865386e-02 3.951718748869481601e-02 -4.639757495867883108e+02 -2.043449323051760302e-02 3.298150797641596910e-02 -4.639757495867883108e+02 -2.346439665013377862e-02 2.159322927697715500e-02
1.000000000000000000e+00 -4.639764108111297674e+02 -2.035404671136120669e-02 3.326097693632235064e-02 -4.639764108111297674e+02 -2.340761142388814164e-02 4.021407076679039960e-02 -4.639764108111297674e+02 -2.035404671152107881e-02 3.313041598815757993e-02 -4.639764108111297674e+02 -2.340761142389879979e-02 3.953295684287283507e-02 -4.639764108111297674e+02 -2.035404671185858660e-02 3.295648398713169058e-02 -4.639764108111297674e+02 -2.340761142388458893e-02 2.157887543665992780e-02
1.100000000000000089e+00 -4.639770271247034543e+02 -2.026535570810494846e-02 3.329678074730324511e-02 -4.639770271247034543e+02 -2.334478958514552005e-02 4.027363152156482329e-02 -4.639770271247034543e+02 -2.026535570776744066e-02 3.314072275064816608e-02 -4.639770271247034543e+02 -2.334478958531960302e-02 3.954913682218830218e-02 -4.639770271247034543e+02 -2.026535570804099962e-02 3.292819609942299053e-02 -4.639770271247034543e+02 -2.334478958514196734e-02 2.156303297783779271e-02
1.199999999999999956e+00 -4.639775851913771021e+02 -2.016858225705320251e-02 3.333419655657010594e-02 -4.639775851913771021e+02 -2.327601083654329273e-02 4.033613408099512299e-02 -4.639775851913771021e+02 -2.016858225704964980e-02 3.315093111482170229e-02 -4.639775851913771021e+02 -2.327601083677421911e-02 3.956550636430833379e-02 -4.639775851913771021e+02 -2.016858225708162422e-02 3.289656011631691968e-02 -4.639775851913771021e+02 -2.327601083659658343e-02 2.154570515711284884e-02
1.300000000000000044e+00 -4.639780769897819255e+02 -2.006394594865668068e-02 3.337290351442945280e-02 -4.639780769897819255e+02 -2.320139638799290083e-02 4.040108407749087860e-02 -4.639780769897819255e+02 -2.006394594833693645e-02 3.316089473219108186e-02 -4.639780769897819255e+02 -2.320139638805684967e-02 3.958188727754929914e-02 -4.639780769897819255e+02 -2.006394594840799073e-02 3.286155282813041367e-02 -4.639780769897819255e+02 -2.320139638809237681e-02 2.152691258651628914e-02
1.399999999999999911e+00 -4.639785017119161239e+02 -1.995175716825414725e-02 3.341270053341816038e-02 -4.639785017119161239e+02 -2.312114077065530182e-02 4.046815103828294014e-02 -4.639785017119161239e+02 -1.995175716823993639e-02 3.317059072924521956e-02 -4.639785017119161239e+02 -2.312114077090754449e-02 3.959823999642964054e-02 -4.639785017119161239e+02 -1.995175716836428137e-02 3.282329862001631682e-02 -4.639785017119161239e+02 -2.312114077082583208e-02 2.150673624717569510e-02
1.500000000000000000e+00 -4.639788623659376299e+02 -1.983240053119317281e-02 3.345343431829661540e-02 -4.639788623659376299e+02 -2.303549686227057691e-02 4.053707341518730800e-02 -4.639788623659376299e+02 -1.983240053126422708e-02 3.318004981948874388e-02 -4.639788623659376299e+02 -2.303549686238426375e-02 3.961458649567006773e-02 -4.639788623659376299e+02 -1.983240053110080225e-02 3.278199283096583372e-02 -4.639788623659376299e+02 -2.303549686237005290e-02 2.148527917104559037e-02
1.600000000000000089e+00 -4.639791627296826846e+02 -1.970630283956964490e-02 3.349491602160625803e-02 -4.639791627296826846e+02 -2.294474529847434496e-02 4.060754624622830988e-02 -4.639791627296826846e+02 -1.970630283965491003e-02 3.318927255108405916e-02 -4.639791627296826846e+02 -2.294474529849210853e-02 3.963091359853621043e-02 -4.639791627296826846e+02 -1.970630283935648208e-02 3.273781070344128352e-02 -4.639791627296826846e+02 -2.294474529831092013e-02 2.146262137610221998e-02
1.699999999999999956e+00 -4.639794069316897094e+02 -1.957392716020933676e-02 3.353692576516564827e-02 -4.639794069316897094e+02 -2.284919110245553497e-02 4.067922107008570265e-02 -4.639794069316897094e+02 -1.957392716013117706e-02 3.319823178626890581e-02 -4.639794069316897094e+02 -2.284919110248040397e-02 3.964717913560988904e-02 -4.639794069316897094e+02 -1.957392716025552204e-02 3.269090825726550520e-02 -4.639794069316897094e+02 -2.284919110258698538e-02 2.143882182032896822e-02
1.800000000000000044e+00 -4.639796000379865291e+02 -1.943577518434835838e-02 3.357924081897678548e-02 -4.639796000379865291e+02 -2.274916876731936100e-02 4.075174407343951088e-02 -4.639796000379865291e+02 -1.943577518422756611e-02 3.320689788589703539e-02 -4.639796000379865291e+02 -2.274916876741883698e-02 3.966333862816995293e-02 -4.639796000379865291e+02 -1.943577518422046069e-02 3.264144826118098308e-02 -4.639796000379865291e+02 -2.274916876723409587e-02 2.141393365845800645e-02
1.899999999999999911e+00 -4.639797492523653091e+02 -1.929239343023070319e-02 3.362167208000954588e-02 -4.639797492523653091e+02 -2.264505205721079051e-02 4.082480727075221694e-02 -4.639797492523653091e+02 -1.929239343003175122e-02 3.321527237024923807e-02 -4.639797492523653091e+02 -2.264505205715749980e-02 3.967938159840400658e-02 -4.639797492523653091e+02 -1.929239343022004505e-02 3.258963487677490889e-02 -4.639797492523653091e+02 -2.264505205736355720e-02 2.138802425929142714e-02
2.000000000000000000e+00 -4.639798649111064606e+02 -1.914438699779452691e-02 3.366412519322281582e-02 -4.639798649111064606e+02 -2.253727318873544050e-02 4.089822790973940414e-02 -4.639798649111064606e+02 -1.914438699774478891e-02 3.322344526938181275e-02 -4.639798649111064606e+02 -2.253727318883846920e-02 3.969540041619978865e-02 -4.639798649111064606e+02 -1.914438699788689746e-02 3.253577165749632627e-02 -4.639798649111064606e+02 -2.253727318862530637e-02 2.136120701827692869e-02
2.100000000000000089e+00 -4.639799596602592828e+02 -1.899240568242532845e-02 3.370660997354946176e-02 -4.639799596602592828e+02 -2.242631162594577177e-02 4.097196044407169779e-02 -4.639799596602592828e+02 -1.899240568235072146e-02 3.323160088432786097e-02 -4.639799596602592828e+02 -2.242631162603458961e-02 3.971159429098847227e-02 -4.639799596602592828e+02 -1.899240568236493232e-02 3.248026630756228883e-02 -4.639799596602592828e+02 -2.242631162606301132e-02 2.133364611860599780e-02
2.200000000000000178e+00 -4.639800435263056215e+02 -1.883706186038125452e-02 3.374905354425905557e-02 -4.639800435263056215e+02 -2.231261107422355394e-02 4.104584895798524258e-02 -4.639800435263056215e+02 -1.883706186039901809e-02 3.323983494848903320e-02 -4.639800435263056215e+02 -2.231261107401394383e-02 3.972805066753437586e-02 -4.639800435263056215e+02 -1.883706186018230255e-02 3.242343645548118047e-02 -4.639800435263056215e+02 -2.231261107412763067e-02 2.130546137465572087e-02
2.299999999999999822e+00 -4.639801216932137322e+02 -1.867889769661346122e-02 3.379121102661031273e-02 -4.639801216932137322e+02 -2.219655059114700180e-02 4.111950060593017042e-02 -4.639801216932137322e+02 -1.867889769638964026e-02 3.324807078222136170e-02 -4.639801216932137322e+02 -2.219655059106528938e-02 3.974465755666045652e-02 -4.639801216932137322e+02 -1.867889769664543564e-02 3.236541624363908909e-02 -4.639801216932137322e+02 -2.219655059101555139e-02 2.127668411565508677e-02
2.399999999999999911e+00 -4.639801979326859964e+02 -1.851844886141407187e-02 3.383284425586197131e-02 -4.639801979326859964e+02 -2.207851590638298944e-02 4.119251598186224328e-02 -4.639801979326859964e+02 -1.851844886137854473e-02 3.325623467683769263e-02 -4.639801979326859964e+02 -2.207851590664233754e-02 3.976132275455412923e-02 -4.639801979326859964e+02 -1.851844886141762458e-02 3.230633624119505498e-02 -4.639801979326859964e+02 -2.207851590641851658e-02 2.124734995116739356e-02
2.500000000000000000e+00 -4.639802779673956366e+02 -1.835629341327305042e-02 3.387388706150673556e-02 -4.639802779673956366e+02 -2.195895064105002348e-02 4.126471786486973770e-02 -4.639802779673956366e+02 -1.835629341321620700e-02 3.326441222315779100e-02 -4.639802779673956366e+02 -2.195895064074449010e-02 3.977815029704956373e-02 -4.639802779673956366e+02 -1.835629341313094187e-02 3.224648773528926426e-02 -4.639802779673956366e+02 -2.195895064068764668e-02 2.121758256473782467e-02
2.600000000000000089e+00 -4.639803685376004978e+02 -1.819301734271050464e-02 3.391437873532154867e-02 -4.639803685376004978e+02 -2.183831659910850931e-02 4.133607751272094788e-02 -4.639803685376004978e+02 -1.819301734268563564e-02 3.327277924351790261e-02 -4.639803685376004978e+02 -2.183831659917956358e-02 3.979534109528160002e-02 -4.639803685376004978e+02 -1.819301734267853021e-02 3.218625321833457065e-02 -4.639803685376004978e+02 -2.183831659906232403e-02 2.118755933067362207e-02
