# step       rmse_trn   rmse_lc_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  12600      2.39e-01      7.57e-03    9.4e-04
  12700      2.56e-01      8.09e-03    9.4e-04
  12800      1.96e-01      6.21e-03    9.4e-04
  12900      3.71e-01      1.17e-02    9.4e-04
  13000      2.54e-01      8.02e-03    9.4e-04
  13100      2.72e-01      8.60e-03    9.4e-04
  13200      2.25e-01      7.11e-03    9.4e-04
  13300      2.35e-01      7.43e-03    9.4e-04
  13400      1.96e-01      6.21e-03    9.4e-04
  13500      1.71e-01      5.41e-03    9.4e-04
  13600      2.27e-01      7.16e-03    9.4e-04
  13700      2.68e-01      8.47e-03    9.4e-04
  13800      2.40e-01      7.60e-03    9.4e-04
  13900      2.56e-01      8.10e-03    9.4e-04
  14000      2.34e-01      7.40e-03    9.4e-04
  14100      1.89e-01      5.98e-03    9.4e-04
  14200      3.53e-01      1.12e-02    9.4e-04
  14300      2.53e-01      8.02e-03    9.4e-04
  14400      2.01e-01      6.37e-03    9.4e-04
  14500      2.44e-01      7.70e-03    9.4e-04
  14600      2.32e-01      7.34e-03    9.4e-04
  14700      2.20e-01      6.94e-03    9.4e-04
  14800      3.82e-01      1.21e-02    9.4e-04
  14900      2.59e-01      8.19e-03    9.4e-04
  15000      2.02e-01      6.39e-03    9.2e-04
  15100      2.39e-01      7.57e-03    9.2e-04
  15200      2.76e-01      8.73e-03    9.2e-04
  15300      4.28e-01      1.35e-02    9.2e-04
  15400      2.50e-01      7.92e-03    9.2e-04
  15500      1.89e-01      5.98e-03    9.2e-04
  15600      1.53e-01      4.83e-03    9.2e-04
  15700      1.96e-01      6.20e-03    9.2e-04
  15800      2.23e-01      7.06e-03    9.2e-04
  15900      2.40e-01      7.58e-03    9.2e-04
  16000      2.47e-01      7.80e-03    9.2e-04
  16100      2.02e-01      6.40e-03    9.2e-04
  16200      1.83e-01      5.79e-03    9.2e-04
  16300      3.45e-01      1.09e-02    9.2e-04
  16400      1.48e-01      4.67e-03    9.2e-04
  16500      1.61e-01      5.10e-03    9.2e-04
  16600      2.00e-01      6.34e-03    9.2e-04
  16700      1.70e-01      5.36e-03    9.2e-04
  16800      3.38e-01      1.07e-02    9.2e-04
  16900      2.51e-01      7.92e-03    9.2e-04
  17000      1.61e-01      5.08e-03    9.2e-04
  17100      2.00e-01      6.33e-03    9.2e-04
  17200      1.91e-01      6.05e-03    9.2e-04
  17300      2.38e-01      7.52e-03    9.2e-04
  17400      1.94e-01      6.12e-03    9.2e-04
  17500      1.74e-01      5.52e-03    9.2e-04
  17600      2.23e-01      7.07e-03    9.2e-04
  17700      1.74e-01      5.50e-03    9.2e-04
  17800      2.44e-01      7.73e-03    9.2e-04
  17900      1.90e-01      6.01e-03    9.2e-04
  18000      2.01e-01      6.37e-03    9.2e-04
  18100      1.76e-01      5.57e-03    9.2e-04
  18200      3.70e-01      1.17e-02    9.2e-04
  18300      2.49e-01      7.86e-03    9.2e-04
  18400      3.03e-01      9.57e-03    9.2e-04
  18500      2.07e-01      6.53e-03    9.2e-04
  18600      1.95e-01      6.15e-03    9.2e-04
  18700      1.53e-01      4.85e-03    9.2e-04
  18800      3.45e-01      1.09e-02    9.2e-04
  18900      2.70e-01      8.54e-03    9.2e-04
  19000      1.50e-01      4.76e-03    9.2e-04
  19100      2.07e-01      6.56e-03    9.2e-04
  19200      1.92e-01      6.08e-03    9.2e-04
  19300      1.96e-01      6.20e-03    9.2e-04
  19400      1.94e-01      6.14e-03    9.2e-04
  19500      1.61e-01      5.09e-03    9.2e-04
  19600      1.91e-01      6.03e-03    9.2e-04
  19700      2.01e-01      6.37e-03    9.2e-04
  19800      1.36e-01      4.31e-03    9.2e-04
  19900      2.18e-01      6.90e-03    9.2e-04
  20000      1.63e-01      5.14e-03    8.9e-04
  20100      2.10e-01      6.63e-03    8.9e-04
  20200      1.97e-01      6.23e-03    8.9e-04
  20300      1.32e-01      4.17e-03    8.9e-04
  20400      1.66e-01      5.26e-03    8.9e-04
  20500      1.89e-01      5.97e-03    8.9e-04
  20600      1.62e-01      5.13e-03    8.9e-04
  20700      2.05e-01      6.50e-03    8.9e-04
  20800      1.84e-01      5.81e-03    8.9e-04
  20900      1.49e-01      4.72e-03    8.9e-04
  21000      2.49e-01      7.88e-03    8.9e-04
  21100      1.67e-01      5.27e-03    8.9e-04
  21200      2.35e-01      7.43e-03    8.9e-04
  21300      1.98e-01      6.25e-03    8.9e-04
  21400      5.34e-01      1.69e-02    8.9e-04
  21500      1.81e-01      5.72e-03    8.9e-04
  21600      1.62e-01      5.12e-03    8.9e-04
  21700      1.70e-01      5.37e-03    8.9e-04
  21800      2.03e-01      6.41e-03    8.9e-04
  21900      2.11e-01      6.67e-03    8.9e-04
  22000      2.14e-01      6.77e-03    8.9e-04
  22100      2.31e-01      7.31e-03    8.9e-04
  22200      1.59e-01      5.04e-03    8.9e-04
  22300      2.21e-01      6.99e-03    8.9e-04
  22400      1.96e-01      6.19e-03    8.9e-04
  22500      1.66e-01      5.24e-03    8.9e-04
  22600      2.31e-01      7.32e-03    8.9e-04
  22700      2.18e-01      6.88e-03    8.9e-04
  22800      1.44e-01      4.56e-03    8.9e-04
  22900      1.56e-01      4.95e-03    8.9e-04
  23000      1.99e-01      6.28e-03    8.9e-04
  23100      1.92e-01      6.06e-03    8.9e-04
  23200      2.09e-01      6.60e-03    8.9e-04
  23300      3.01e-01      9.51e-03    8.9e-04
  23400      2.15e-01      6.81e-03    8.9e-04
  23500      1.84e-01      5.82e-03    8.9e-04
  23600      1.46e-01      4.60e-03    8.9e-04
  23700      1.49e-01      4.70e-03    8.9e-04
  23800      1.77e-01      5.59e-03    8.9e-04
  23900      2.18e-01      6.90e-03    8.9e-04
  24000      1.87e-01      5.92e-03    8.9e-04
  24100      1.55e-01      4.90e-03    8.9e-04
  24200      1.89e-01      5.99e-03    8.9e-04
  24300      1.64e-01      5.20e-03    8.9e-04
  24400      2.06e-01      6.52e-03    8.9e-04
  24500      1.83e-01      5.80e-03    8.9e-04
  24600      2.60e-01      8.22e-03    8.9e-04
  24700      1.96e-01      6.19e-03    8.9e-04
  24800      1.47e-01      4.64e-03    8.9e-04
  24900      1.74e-01      5.50e-03    8.9e-04
  25000      1.47e-01      4.66e-03    8.7e-04
  25100      1.64e-01      5.19e-03    8.7e-04
  25200      1.51e-01      4.77e-03    8.7e-04
  25300      1.90e-01      6.02e-03    8.7e-04
  25400      1.78e-01      5.62e-03    8.7e-04
  25500      2.07e-01      6.56e-03    8.7e-04
  25600      1.38e-01      4.36e-03    8.7e-04
  25700      1.59e-01      5.03e-03    8.7e-04
  25800      2.03e-01      6.43e-03    8.7e-04
  25900      1.53e-01      4.84e-03    8.7e-04
  26000      2.46e-01      7.78e-03    8.7e-04
  26100      1.64e-01      5.17e-03    8.7e-04
  26200      1.66e-01      5.26e-03    8.7e-04
  26300      1.63e-01      5.16e-03    8.7e-04
  26400      1.76e-01      5.55e-03    8.7e-04
  26500      1.61e-01      5.09e-03    8.7e-04
  26600      1.56e-01      4.92e-03    8.7e-04
  26700      1.63e-01      5.16e-03    8.7e-04
  26800      1.32e-01      4.17e-03    8.7e-04
  26900      1.52e-01      4.81e-03    8.7e-04
  27000      1.49e-01      4.70e-03    8.7e-04
  27100      1.27e-01      4.01e-03    8.7e-04
  27200      1.44e-01      4.54e-03    8.7e-04
  27300      1.42e-01      4.50e-03    8.7e-04
  27400      1.53e-01      4.84e-03    8.7e-04
  27500      1.40e-01      4.42e-03    8.7e-04
  27600      1.37e-01      4.32e-03    8.7e-04
  27700      1.74e-01      5.49e-03    8.7e-04
  27800      1.44e-01      4.55e-03    8.7e-04
  27900      1.67e-01      5.27e-03    8.7e-04
  28000      1.53e-01      4.83e-03    8.7e-04
  28100      1.68e-01      5.31e-03    8.7e-04
  28200      1.60e-01      5.07e-03    8.7e-04
  28300      1.40e-01      4.44e-03    8.7e-04
  28400      1.62e-01      5.11e-03    8.7e-04
  28500      1.54e-01      4.88e-03    8.7e-04
  28600      1.68e-01      5.31e-03    8.7e-04
  28700      1.79e-01      5.67e-03    8.7e-04
  28800      1.61e-01      5.08e-03    8.7e-04
  28900      1.76e-01      5.57e-03    8.7e-04
  29000      1.72e-01      5.45e-03    8.7e-04
  29100      1.77e-01      5.61e-03    8.7e-04
  29200      1.05e-01      3.31e-03    8.7e-04
  29300      1.33e-01      4.22e-03    8.7e-04
  29400      2.05e-01      6.47e-03    8.7e-04
  29500      1.41e-01      4.47e-03    8.7e-04
  29600      1.43e-01      4.52e-03    8.7e-04
  29700      1.54e-01      4.86e-03    8.7e-04
  29800      1.45e-01      4.59e-03    8.7e-04
  29900      1.88e-01      5.94e-03    8.7e-04
  30000      1.80e-01      5.68e-03    8.4e-04
  30100      1.66e-01      5.26e-03    8.4e-04
  30200      1.53e-01      4.83e-03    8.4e-04
  30300      1.29e-01      4.09e-03    8.4e-04
  30400      1.55e-01      4.91e-03    8.4e-04
  30500      2.05e-01      6.49e-03    8.4e-04
  30600      1.56e-01      4.93e-03    8.4e-04
  30700      1.41e-01      4.45e-03    8.4e-04
  30800      1.90e-01      6.02e-03    8.4e-04
  30900      1.56e-01      4.92e-03    8.4e-04
  31000      1.43e-01      4.53e-03    8.4e-04
  31100      1.43e-01      4.53e-03    8.4e-04
  31200      2.65e-01      8.37e-03    8.4e-04
  31300      2.11e-01      6.67e-03    8.4e-04
  31400      1.81e-01      5.73e-03    8.4e-04
  31500      1.64e-01      5.19e-03    8.4e-04
  31600      1.52e-01      4.80e-03    8.4e-04
  31700      1.44e-01      4.56e-03    8.4e-04
  31800      2.24e-01      7.09e-03    8.4e-04
  31900      1.92e-01      6.06e-03    8.4e-04
  32000      1.14e-01      3.62e-03    8.4e-04
  32100      1.97e-01      6.23e-03    8.4e-04
  32200      3.12e-01      9.86e-03    8.4e-04
  32300      1.92e-01      6.08e-03    8.4e-04
  32400      1.66e-01      5.26e-03    8.4e-04
  32500      1.53e-01      4.83e-03    8.4e-04
  32600      1.94e-01      6.12e-03    8.4e-04
  32700      1.96e-01      6.20e-03    8.4e-04
  32800      2.13e-01      6.72e-03    8.4e-04
  32900      1.63e-01      5.15e-03    8.4e-04
  33000      1.94e-01      6.15e-03    8.4e-04
  33100      1.47e-01      4.66e-03    8.4e-04
  33200      1.68e-01      5.33e-03    8.4e-04
  33300      1.35e-01      4.26e-03    8.4e-04
  33400      1.83e-01      5.78e-03    8.4e-04
  33500      1.75e-01      5.52e-03    8.4e-04
  33600      1.64e-01      5.18e-03    8.4e-04
  33700      1.67e-01      5.29e-03    8.4e-04
  33800      1.83e-01      5.79e-03    8.4e-04
  33900      1.70e-01      5.37e-03    8.4e-04
  34000      1.39e-01      4.39e-03    8.4e-04
  34100      1.58e-01      5.00e-03    8.4e-04
  34200      1.59e-01      5.02e-03    8.4e-04
  34300      1.49e-01      4.71e-03    8.4e-04
  34400      1.56e-01      4.94e-03    8.4e-04
  34500      1.38e-01      4.38e-03    8.4e-04
  34600      1.76e-01      5.55e-03    8.4e-04
  34700      1.38e-01      4.38e-03    8.4e-04
  34800      1.47e-01      4.65e-03    8.4e-04
  34900      1.71e-01      5.42e-03    8.4e-04
  35000      1.29e-01      4.09e-03    8.2e-04
  35100      1.31e-01      4.14e-03    8.2e-04
  35200      1.28e-01      4.06e-03    8.2e-04
  35300      1.54e-01      4.87e-03    8.2e-04
  35400      1.39e-01      4.40e-03    8.2e-04
  35500      1.51e-01      4.77e-03    8.2e-04
  35600      1.70e-01      5.38e-03    8.2e-04
  35700      1.86e-01      5.88e-03    8.2e-04
  35800      1.59e-01      5.04e-03    8.2e-04
  35900      1.92e-01      6.07e-03    8.2e-04
  36000      1.69e-01      5.36e-03    8.2e-04
  36100      1.62e-01      5.11e-03    8.2e-04
  36200      1.37e-01      4.33e-03    8.2e-04
  36300      1.56e-01      4.92e-03    8.2e-04
  36400      1.58e-01      4.99e-03    8.2e-04
  36500      1.32e-01      4.18e-03    8.2e-04
  36600      1.44e-01      4.56e-03    8.2e-04
  36700      1.83e-01      5.78e-03    8.2e-04
  36800      1.38e-01      4.36e-03    8.2e-04
  36900      1.56e-01      4.92e-03    8.2e-04
  37000      1.45e-01      4.59e-03    8.2e-04
  37100      1.74e-01      5.50e-03    8.2e-04
  37200      1.56e-01      4.93e-03    8.2e-04
  37300      1.52e-01      4.82e-03    8.2e-04
  37400      1.47e-01      4.66e-03    8.2e-04
  37500      1.81e-01      5.72e-03    8.2e-04
  37600      1.60e-01      5.05e-03    8.2e-04
  37700      1.56e-01      4.92e-03    8.2e-04
  37800      1.79e-01      5.65e-03    8.2e-04
  37900      1.86e-01      5.89e-03    8.2e-04
  38000      1.19e-01      3.76e-03    8.2e-04
  38100      2.24e-01      7.08e-03    8.2e-04
  38200      1.68e-01      5.31e-03    8.2e-04
  38300      1.50e-01      4.73e-03    8.2e-04
  38400      1.92e-01      6.07e-03    8.2e-04
  38500      1.27e-01      4.01e-03    8.2e-04
  38600      2.23e-01      7.06e-03    8.2e-04
  38700      1.48e-01      4.66e-03    8.2e-04
  38800      1.60e-01      5.07e-03    8.2e-04
  38900      1.60e-01      5.07e-03    8.2e-04
  39000      1.37e-01      4.33e-03    8.2e-04
  39100      1.48e-01      4.68e-03    8.2e-04
  39200      1.31e-01      4.15e-03    8.2e-04
  39300      1.28e-01      4.05e-03    8.2e-04
  39400      1.78e-01      5.63e-03    8.2e-04
  39500      1.44e-01      4.56e-03    8.2e-04
  39600      1.62e-01      5.14e-03    8.2e-04
  39700      1.51e-01      4.77e-03    8.2e-04
  39800      1.36e-01      4.30e-03    8.2e-04
  39900      1.97e-01      6.22e-03    8.2e-04
  40000      1.34e-01      4.24e-03    7.9e-04
  40100      1.26e-01      4.00e-03    7.9e-04
  40200      1.26e-01      3.99e-03    7.9e-04
  40300      2.11e-01      6.69e-03    7.9e-04
  40400      1.13e-01      3.56e-03    7.9e-04
  40500      1.36e-01      4.31e-03    7.9e-04
  40600      1.81e-01      5.71e-03    7.9e-04
  40700      1.39e-01      4.41e-03    7.9e-04
  40800      1.55e-01      4.90e-03    7.9e-04
  40900      1.58e-01      5.01e-03    7.9e-04
  41000      2.25e-01      7.11e-03    7.9e-04
  41100      1.66e-01      5.24e-03    7.9e-04
  41200      2.56e-01      8.08e-03    7.9e-04
  41300      1.48e-01      4.69e-03    7.9e-04
  41400      1.56e-01      4.94e-03    7.9e-04
  41500      1.58e-01      5.00e-03    7.9e-04
  41600      1.27e-01      4.02e-03    7.9e-04
  41700      1.53e-01      4.84e-03    7.9e-04
  41800      1.28e-01      4.06e-03    7.9e-04
  41900      1.39e-01      4.40e-03    7.9e-04
  42000      1.60e-01      5.07e-03    7.9e-04
  42100      1.17e-01      3.70e-03    7.9e-04
  42200      1.52e-01      4.81e-03    7.9e-04
  42300      1.33e-01      4.20e-03    7.9e-04
  42400      1.60e-01      5.05e-03    7.9e-04
  42500      1.58e-01      4.98e-03    7.9e-04
  42600      1.52e-01      4.80e-03    7.9e-04
  42700      1.54e-01      4.86e-03    7.9e-04
  42800      1.71e-01      5.40e-03    7.9e-04
  42900      1.48e-01      4.69e-03    7.9e-04
  43000      1.36e-01      4.31e-03    7.9e-04
  43100      1.97e-01      6.22e-03    7.9e-04
  43200      1.39e-01      4.39e-03    7.9e-04
  43300      1.35e-01      4.26e-03    7.9e-04
  43400      1.57e-01      4.96e-03    7.9e-04
  43500      1.16e-01      3.66e-03    7.9e-04
  43600      1.30e-01      4.10e-03    7.9e-04
  43700      1.53e-01      4.82e-03    7.9e-04
  43800      1.14e-01      3.61e-03    7.9e-04
  43900      1.71e-01      5.41e-03    7.9e-04
  44000      1.50e-01      4.75e-03    7.9e-04
  44100      1.33e-01      4.19e-03    7.9e-04
  44200      1.21e-01      3.84e-03    7.9e-04
  44300      1.62e-01      5.12e-03    7.9e-04
  44400      1.62e-01      5.13e-03    7.9e-04
  44500      1.96e-01      6.21e-03    7.9e-04
  44600      1.21e-01      3.84e-03    7.9e-04
  44700      1.78e-01      5.64e-03    7.9e-04
  44800      1.62e-01      5.13e-03    7.9e-04
  44900      1.61e-01      5.10e-03    7.9e-04
  45000      1.52e-01      4.81e-03    7.7e-04
  45100      1.87e-01      5.92e-03    7.7e-04
  45200      1.56e-01      4.92e-03    7.7e-04
  45300      1.77e-01      5.58e-03    7.7e-04
  45400      1.60e-01      5.07e-03    7.7e-04
  45500      1.49e-01      4.72e-03    7.7e-04
  45600      1.89e-01      5.97e-03    7.7e-04
  45700      1.39e-01      4.40e-03    7.7e-04
  45800      1.80e-01      5.71e-03    7.7e-04
  45900      1.88e-01      5.94e-03    7.7e-04
  46000      1.62e-01      5.12e-03    7.7e-04
  46100      1.83e-01      5.79e-03    7.7e-04
  46200      1.49e-01      4.70e-03    7.7e-04
  46300      1.55e-01      4.90e-03    7.7e-04
  46400      1.46e-01      4.63e-03    7.7e-04
  46500      1.43e-01      4.52e-03    7.7e-04
  46600      1.34e-01      4.23e-03    7.7e-04
  46700      1.72e-01      5.44e-03    7.7e-04
  46800      1.42e-01      4.48e-03    7.7e-04
  46900      1.46e-01      4.61e-03    7.7e-04
  47000      1.54e-01      4.88e-03    7.7e-04
  47100      1.57e-01      4.96e-03    7.7e-04
  47200      1.26e-01      3.98e-03    7.7e-04
  47300      1.24e-01      3.93e-03    7.7e-04
  47400      1.36e-01      4.30e-03    7.7e-04
  47500      1.12e-01      3.54e-03    7.7e-04
  47600      1.30e-01      4.11e-03    7.7e-04
  47700      1.55e-01      4.89e-03    7.7e-04
  47800      1.53e-01      4.83e-03    7.7e-04
  47900      1.47e-01      4.66e-03    7.7e-04
  48000      1.49e-01      4.70e-03    7.7e-04
  48100      1.44e-01      4.57e-03    7.7e-04
  48200      1.49e-01      4.71e-03    7.7e-04
  48300      1.14e-01      3.61e-03    7.7e-04
  48400      1.52e-01      4.82e-03    7.7e-04
  48500      1.74e-01      5.49e-03    7.7e-04
  48600      1.46e-01      4.60e-03    7.7e-04
  48700      1.69e-01      5.33e-03    7.7e-04
  48800      1.53e-01      4.85e-03    7.7e-04
  48900      1.61e-01      5.09e-03    7.7e-04
  49000      1.40e-01      4.44e-03    7.7e-04
  49100      1.51e-01      4.78e-03    7.7e-04
  49200      1.23e-01      3.88e-03    7.7e-04
  49300      1.50e-01      4.75e-03    7.7e-04
  49400      1.55e-01      4.90e-03    7.7e-04
  49500      1.60e-01      5.07e-03    7.7e-04
  49600      1.57e-01      4.96e-03    7.7e-04
  49700      1.66e-01      5.26e-03    7.7e-04
  49800      1.28e-01      4.06e-03    7.7e-04
  49900      1.54e-01      4.88e-03    7.7e-04
  50000      1.37e-01      4.33e-03    7.5e-04
  50100      1.42e-01      4.48e-03    7.5e-04
  50200      1.39e-01      4.39e-03    7.5e-04
  50300      1.74e-01      5.50e-03    7.5e-04
  50400      1.61e-01      5.09e-03    7.5e-04
  50500      1.80e-01      5.69e-03    7.5e-04
  50600      1.61e-01      5.09e-03    7.5e-04
  50700      1.83e-01      5.79e-03    7.5e-04
  50800      1.32e-01      4.18e-03    7.5e-04
  50900      1.61e-01      5.09e-03    7.5e-04
  51000      1.56e-01      4.92e-03    7.5e-04
  51100      1.11e-01      3.50e-03    7.5e-04
  51200      1.48e-01      4.67e-03    7.5e-04
  51300      1.19e-01      3.75e-03    7.5e-04
  51400      1.31e-01      4.13e-03    7.5e-04
  51500      1.21e-01      3.83e-03    7.5e-04
  51600      1.36e-01      4.31e-03    7.5e-04
  51700      1.44e-01      4.55e-03    7.5e-04
  51800      1.37e-01      4.35e-03    7.5e-04
  51900      1.53e-01      4.85e-03    7.5e-04
  52000      1.09e-01      3.44e-03    7.5e-04
  52100      1.81e-01      5.72e-03    7.5e-04
  52200      1.58e-01      5.01e-03    7.5e-04
  52300      1.52e-01      4.80e-03    7.5e-04
  52400      1.62e-01      5.13e-03    7.5e-04
  52500      1.34e-01      4.25e-03    7.5e-04
  52600      1.29e-01      4.07e-03    7.5e-04
  52700      1.38e-01      4.37e-03    7.5e-04
  52800      1.26e-01      3.97e-03    7.5e-04
  52900      1.62e-01      5.13e-03    7.5e-04
  53000      1.57e-01      4.96e-03    7.5e-04
  53100      1.41e-01      4.46e-03    7.5e-04
  53200      1.30e-01      4.13e-03    7.5e-04
  53300      1.56e-01      4.94e-03    7.5e-04
  53400      1.35e-01      4.27e-03    7.5e-04
  53500      1.35e-01      4.28e-03    7.5e-04
  53600      1.36e-01      4.30e-03    7.5e-04
  53700      1.61e-01      5.08e-03    7.5e-04
  53800      1.28e-01      4.06e-03    7.5e-04
  53900      1.41e-01      4.44e-03    7.5e-04
  54000      1.10e-01      3.49e-03    7.5e-04
  54100      1.36e-01      4.29e-03    7.5e-04
  54200      1.49e-01      4.72e-03    7.5e-04
  54300      1.60e-01      5.05e-03    7.5e-04
  54400      1.41e-01      4.47e-03    7.5e-04
  54500      1.25e-01      3.97e-03    7.5e-04
  54600      1.63e-01      5.15e-03    7.5e-04
  54700      1.30e-01      4.11e-03    7.5e-04
  54800      1.41e-01      4.44e-03    7.5e-04
  54900      1.95e-01      6.17e-03    7.5e-04
  55000      1.50e-01      4.76e-03    7.3e-04
  55100      1.28e-01      4.04e-03    7.3e-04
  55200      1.58e-01      5.01e-03    7.3e-04
  55300      1.39e-01      4.41e-03    7.3e-04
  55400      1.59e-01      5.02e-03    7.3e-04
  55500      1.38e-01      4.35e-03    7.3e-04
