# step       rmse_trn   rmse_lc_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 143800      1.46e-01      4.61e-03    4.5e-04
 143900      1.59e-01      5.02e-03    4.5e-04
 144000      1.06e-01      3.37e-03    4.5e-04
 144100      1.44e-01      4.55e-03    4.5e-04
 144200      1.20e-01      3.80e-03    4.5e-04
 144300      1.44e-01      4.56e-03    4.5e-04
 144400      1.29e-01      4.08e-03    4.5e-04
 144500      1.10e-01      3.48e-03    4.5e-04
 144600      1.20e-01      3.79e-03    4.5e-04
 144700      1.55e-01      4.91e-03    4.5e-04
 144800      1.58e-01      5.01e-03    4.5e-04
 144900      1.58e-01      4.99e-03    4.5e-04
 145000      1.56e-01      4.93e-03    4.3e-04
 145100      1.70e-01      5.39e-03    4.3e-04
 145200      1.37e-01      4.34e-03    4.3e-04
 145300      1.36e-01      4.30e-03    4.3e-04
 145400      1.46e-01      4.63e-03    4.3e-04
 145500      1.36e-01      4.29e-03    4.3e-04
 145600      1.55e-01      4.90e-03    4.3e-04
 145700      1.48e-01      4.68e-03    4.3e-04
 145800      1.46e-01      4.62e-03    4.3e-04
 145900      1.20e-01      3.81e-03    4.3e-04
 146000      1.31e-01      4.13e-03    4.3e-04
 146100      1.58e-01      4.99e-03    4.3e-04
 146200      1.07e-01      3.38e-03    4.3e-04
 146300      1.31e-01      4.14e-03    4.3e-04
 146400      1.33e-01      4.20e-03    4.3e-04
 146500      1.51e-01      4.77e-03    4.3e-04
 146600      1.55e-01      4.90e-03    4.3e-04
 146700      1.30e-01      4.11e-03    4.3e-04
 146800      1.20e-01      3.79e-03    4.3e-04
 146900      1.14e-01      3.60e-03    4.3e-04
 147000      1.27e-01      4.01e-03    4.3e-04
 147100      1.46e-01      4.61e-03    4.3e-04
 147200      1.42e-01      4.49e-03    4.3e-04
 147300      1.47e-01      4.66e-03    4.3e-04
 147400      1.35e-01      4.26e-03    4.3e-04
 147500      1.21e-01      3.83e-03    4.3e-04
 147600      1.21e-01      3.82e-03    4.3e-04
 147700      1.38e-01      4.36e-03    4.3e-04
 147800      1.18e-01      3.74e-03    4.3e-04
 147900      1.13e-01      3.57e-03    4.3e-04
 148000      1.50e-01      4.75e-03    4.3e-04
 148100      1.32e-01      4.16e-03    4.3e-04
 148200      1.45e-01      4.59e-03    4.3e-04
 148300      1.52e-01      4.80e-03    4.3e-04
 148400      1.28e-01      4.06e-03    4.3e-04
 148500      1.34e-01      4.24e-03    4.3e-04
 148600      1.54e-01      4.87e-03    4.3e-04
 148700      1.47e-01      4.65e-03    4.3e-04
 148800      1.45e-01      4.59e-03    4.3e-04
 148900      1.06e-01      3.35e-03    4.3e-04
 149000      9.78e-02      3.09e-03    4.3e-04
 149100      1.57e-01      4.96e-03    4.3e-04
 149200      1.43e-01      4.53e-03    4.3e-04
 149300      1.37e-01      4.34e-03    4.3e-04
 149400      1.18e-01      3.74e-03    4.3e-04
 149500      1.40e-01      4.44e-03    4.3e-04
 149600      1.33e-01      4.20e-03    4.3e-04
 149700      1.23e-01      3.89e-03    4.3e-04
 149800      1.38e-01      4.36e-03    4.3e-04
 149900      1.27e-01      4.03e-03    4.3e-04
 150000      1.24e-01      3.91e-03    4.2e-04
 150100      1.31e-01      4.14e-03    4.2e-04
 150200      1.25e-01      3.96e-03    4.2e-04
 150300      1.43e-01      4.53e-03    4.2e-04
 150400      1.33e-01      4.20e-03    4.2e-04
 150500      1.63e-01      5.17e-03    4.2e-04
 150600      1.60e-01      5.06e-03    4.2e-04
 150700      1.30e-01      4.11e-03    4.2e-04
 150800      1.20e-01      3.80e-03    4.2e-04
 150900      1.33e-01      4.20e-03    4.2e-04
 151000      1.40e-01      4.44e-03    4.2e-04
 151100      1.17e-01      3.71e-03    4.2e-04
 151200      1.41e-01      4.45e-03    4.2e-04
 151300      1.40e-01      4.43e-03    4.2e-04
 151400      1.40e-01      4.43e-03    4.2e-04
 151500      1.28e-01      4.04e-03    4.2e-04
 151600      1.38e-01      4.38e-03    4.2e-04
 151700      1.70e-01      5.39e-03    4.2e-04
 151800      1.40e-01      4.42e-03    4.2e-04
 151900      1.44e-01      4.56e-03    4.2e-04
 152000      1.26e-01      3.99e-03    4.2e-04
 152100      1.31e-01      4.14e-03    4.2e-04
 152200      1.06e-01      3.37e-03    4.2e-04
 152300      1.11e-01      3.52e-03    4.2e-04
 152400      1.39e-01      4.41e-03    4.2e-04
 152500      1.51e-01      4.77e-03    4.2e-04
 152600      1.57e-01      4.95e-03    4.2e-04
 152700      1.47e-01      4.65e-03    4.2e-04
 152800      1.33e-01      4.21e-03    4.2e-04
 152900      1.20e-01      3.80e-03    4.2e-04
 153000      1.42e-01      4.48e-03    4.2e-04
 153100      1.29e-01      4.08e-03    4.2e-04
 153200      1.26e-01      3.99e-03    4.2e-04
 153300      1.07e-01      3.40e-03    4.2e-04
 153400      1.49e-01      4.70e-03    4.2e-04
 153500      1.07e-01      3.40e-03    4.2e-04
 153600      1.21e-01      3.82e-03    4.2e-04
 153700      1.50e-01      4.75e-03    4.2e-04
 153800      1.15e-01      3.64e-03    4.2e-04
 153900      1.60e-01      5.07e-03    4.2e-04
 154000      1.49e-01      4.70e-03    4.2e-04
 154100      1.22e-01      3.84e-03    4.2e-04
 154200      1.16e-01      3.68e-03    4.2e-04
 154300      1.12e-01      3.54e-03    4.2e-04
 154400      1.54e-01      4.87e-03    4.2e-04
 154500      1.56e-01      4.93e-03    4.2e-04
 154600      1.24e-01      3.94e-03    4.2e-04
 154700      1.39e-01      4.39e-03    4.2e-04
 154800      1.23e-01      3.87e-03    4.2e-04
 154900      1.33e-01      4.22e-03    4.2e-04
 155000      1.41e-01      4.47e-03    4.1e-04
 155100      1.26e-01      3.98e-03    4.1e-04
 155200      1.41e-01      4.45e-03    4.1e-04
 155300      1.44e-01      4.55e-03    4.1e-04
 155400      1.22e-01      3.86e-03    4.1e-04
 155500      1.38e-01      4.35e-03    4.1e-04
 155600      1.51e-01      4.76e-03    4.1e-04
 155700      1.35e-01      4.27e-03    4.1e-04
 155800      1.50e-01      4.74e-03    4.1e-04
 155900      1.37e-01      4.33e-03    4.1e-04
 156000      1.20e-01      3.78e-03    4.1e-04
 156100      1.14e-01      3.59e-03    4.1e-04
 156200      1.52e-01      4.81e-03    4.1e-04
 156300      1.38e-01      4.38e-03    4.1e-04
 156400      1.28e-01      4.04e-03    4.1e-04
 156500      1.25e-01      3.96e-03    4.1e-04
 156600      1.41e-01      4.45e-03    4.1e-04
 156700      1.49e-01      4.72e-03    4.1e-04
 156800      1.33e-01      4.22e-03    4.1e-04
 156900      9.61e-02      3.04e-03    4.1e-04
 157000      1.48e-01      4.67e-03    4.1e-04
 157100      1.58e-01      5.00e-03    4.1e-04
 157200      1.32e-01      4.18e-03    4.1e-04
 157300      1.61e-01      5.09e-03    4.1e-04
 157400      1.55e-01      4.91e-03    4.1e-04
 157500      1.17e-01      3.69e-03    4.1e-04
 157600      1.09e-01      3.44e-03    4.1e-04
 157700      1.47e-01      4.66e-03    4.1e-04
 157800      1.56e-01      4.93e-03    4.1e-04
 157900      1.46e-01      4.62e-03    4.1e-04
 158000      1.10e-01      3.47e-03    4.1e-04
 158100      1.48e-01      4.69e-03    4.1e-04
 158200      1.54e-01      4.88e-03    4.1e-04
 158300      1.51e-01      4.78e-03    4.1e-04
 158400      1.37e-01      4.32e-03    4.1e-04
 158500      1.24e-01      3.92e-03    4.1e-04
 158600      1.40e-01      4.44e-03    4.1e-04
 158700      1.44e-01      4.55e-03    4.1e-04
 158800      1.23e-01      3.88e-03    4.1e-04
 158900      1.56e-01      4.94e-03    4.1e-04
 159000      1.26e-01      4.00e-03    4.1e-04
 159100      1.34e-01      4.24e-03    4.1e-04
 159200      1.53e-01      4.85e-03    4.1e-04
 159300      1.40e-01      4.43e-03    4.1e-04
 159400      1.58e-01      4.99e-03    4.1e-04
 159500      1.38e-01      4.37e-03    4.1e-04
 159600      1.24e-01      3.92e-03    4.1e-04
 159700      1.21e-01      3.84e-03    4.1e-04
 159800      1.28e-01      4.05e-03    4.1e-04
 159900      1.43e-01      4.53e-03    4.1e-04
 160000      1.57e-01      4.96e-03    4.0e-04
 160100      1.42e-01      4.49e-03    4.0e-04
 160200      1.09e-01      3.46e-03    4.0e-04
 160300      1.29e-01      4.08e-03    4.0e-04
 160400      1.49e-01      4.72e-03    4.0e-04
 160500      1.06e-01      3.35e-03    4.0e-04
 160600      1.31e-01      4.15e-03    4.0e-04
 160700      1.59e-01      5.04e-03    4.0e-04
 160800      1.36e-01      4.31e-03    4.0e-04
 160900      1.34e-01      4.25e-03    4.0e-04
 161000      1.24e-01      3.93e-03    4.0e-04
 161100      1.42e-01      4.48e-03    4.0e-04
 161200      1.45e-01      4.59e-03    4.0e-04
 161300      1.22e-01      3.87e-03    4.0e-04
 161400      1.23e-01      3.88e-03    4.0e-04
 161500      1.69e-01      5.35e-03    4.0e-04
 161600      1.29e-01      4.08e-03    4.0e-04
 161700      1.68e-01      5.32e-03    4.0e-04
 161800      1.20e-01      3.80e-03    4.0e-04
 161900      1.30e-01      4.12e-03    4.0e-04
 162000      1.04e-01      3.28e-03    4.0e-04
 162100      1.30e-01      4.10e-03    4.0e-04
 162200      1.15e-01      3.65e-03    4.0e-04
 162300      1.35e-01      4.27e-03    4.0e-04
 162400      1.22e-01      3.85e-03    4.0e-04
 162500      1.48e-01      4.67e-03    4.0e-04
 162600      1.54e-01      4.87e-03    4.0e-04
 162700      1.13e-01      3.59e-03    4.0e-04
 162800      1.35e-01      4.27e-03    4.0e-04
 162900      1.27e-01      4.01e-03    4.0e-04
 163000      1.31e-01      4.14e-03    4.0e-04
 163100      1.14e-01      3.62e-03    4.0e-04
 163200      1.70e-01      5.36e-03    4.0e-04
 163300      1.05e-01      3.32e-03    4.0e-04
 163400      1.22e-01      3.85e-03    4.0e-04
 163500      1.39e-01      4.38e-03    4.0e-04
 163600      1.05e-01      3.31e-03    4.0e-04
 163700      1.54e-01      4.86e-03    4.0e-04
 163800      1.20e-01      3.80e-03    4.0e-04
 163900      1.15e-01      3.65e-03    4.0e-04
 164000      1.38e-01      4.35e-03    4.0e-04
 164100      1.62e-01      5.13e-03    4.0e-04
 164200      1.47e-01      4.65e-03    4.0e-04
 164300      1.43e-01      4.52e-03    4.0e-04
 164400      1.45e-01      4.58e-03    4.0e-04
 164500      1.49e-01      4.71e-03    4.0e-04
 164600      1.62e-01      5.13e-03    4.0e-04
 164700      1.35e-01      4.26e-03    4.0e-04
 164800      1.49e-01      4.70e-03    4.0e-04
 164900      1.28e-01      4.03e-03    4.0e-04
 165000      1.55e-01      4.91e-03    3.9e-04
 165100      1.62e-01      5.12e-03    3.9e-04
 165200      1.47e-01      4.63e-03    3.9e-04
 165300      1.52e-01      4.81e-03    3.9e-04
 165400      1.35e-01      4.26e-03    3.9e-04
 165500      1.21e-01      3.82e-03    3.9e-04
 165600      1.38e-01      4.37e-03    3.9e-04
 165700      1.29e-01      4.08e-03    3.9e-04
 165800      1.29e-01      4.07e-03    3.9e-04
 165900      1.13e-01      3.59e-03    3.9e-04
 166000      1.17e-01      3.69e-03    3.9e-04
 166100      1.60e-01      5.05e-03    3.9e-04
 166200      1.22e-01      3.84e-03    3.9e-04
 166300      1.20e-01      3.80e-03    3.9e-04
 166400      1.30e-01      4.13e-03    3.9e-04
 166500      1.30e-01      4.12e-03    3.9e-04
 166600      1.46e-01      4.63e-03    3.9e-04
 166700      1.50e-01      4.75e-03    3.9e-04
 166800      1.31e-01      4.15e-03    3.9e-04
 166900      1.43e-01      4.54e-03    3.9e-04
 167000      1.46e-01      4.62e-03    3.9e-04
 167100      1.43e-01      4.54e-03    3.9e-04
 167200      1.34e-01      4.23e-03    3.9e-04
 167300      1.53e-01      4.84e-03    3.9e-04
 167400      1.03e-01      3.26e-03    3.9e-04
 167500      1.45e-01      4.59e-03    3.9e-04
 167600      1.34e-01      4.24e-03    3.9e-04
 167700      1.17e-01      3.71e-03    3.9e-04
 167800      1.14e-01      3.62e-03    3.9e-04
 167900      1.22e-01      3.86e-03    3.9e-04
 168000      1.48e-01      4.68e-03    3.9e-04
 168100      1.19e-01      3.77e-03    3.9e-04
 168200      1.36e-01      4.29e-03    3.9e-04
 168300      1.14e-01      3.61e-03    3.9e-04
 168400      1.29e-01      4.08e-03    3.9e-04
 168500      1.40e-01      4.43e-03    3.9e-04
 168600      1.50e-01      4.75e-03    3.9e-04
 168700      1.17e-01      3.70e-03    3.9e-04
 168800      1.18e-01      3.74e-03    3.9e-04
 168900      1.09e-01      3.46e-03    3.9e-04
 169000      1.28e-01      4.05e-03    3.9e-04
 169100      1.48e-01      4.69e-03    3.9e-04
 169200      1.34e-01      4.25e-03    3.9e-04
 169300      1.51e-01      4.78e-03    3.9e-04
 169400      1.51e-01      4.78e-03    3.9e-04
 169500      1.28e-01      4.06e-03    3.9e-04
 169600      1.20e-01      3.80e-03    3.9e-04
 169700      1.28e-01      4.04e-03    3.9e-04
 169800      1.08e-01      3.41e-03    3.9e-04
 169900      1.16e-01      3.68e-03    3.9e-04
 170000      1.41e-01      4.45e-03    3.8e-04
 170100      1.50e-01      4.75e-03    3.8e-04
 170200      1.33e-01      4.21e-03    3.8e-04
 170300      1.36e-01      4.30e-03    3.8e-04
 170400      1.48e-01      4.68e-03    3.8e-04
 170500      1.43e-01      4.51e-03    3.8e-04
 170600      1.26e-01      3.97e-03    3.8e-04
 170700      1.34e-01      4.22e-03    3.8e-04
 170800      1.50e-01      4.73e-03    3.8e-04
 170900      1.52e-01      4.79e-03    3.8e-04
 171000      1.04e-01      3.30e-03    3.8e-04
 171100      1.34e-01      4.23e-03    3.8e-04
 171200      1.30e-01      4.10e-03    3.8e-04
 171300      1.24e-01      3.93e-03    3.8e-04
 171400      1.28e-01      4.06e-03    3.8e-04
 171500      1.45e-01      4.58e-03    3.8e-04
 171600      1.64e-01      5.17e-03    3.8e-04
 171700      1.31e-01      4.14e-03    3.8e-04
 171800      1.22e-01      3.87e-03    3.8e-04
 171900      1.44e-01      4.54e-03    3.8e-04
 172000      1.13e-01      3.56e-03    3.8e-04
 172100      1.57e-01      4.97e-03    3.8e-04
 172200      1.38e-01      4.36e-03    3.8e-04
 172300      1.38e-01      4.37e-03    3.8e-04
 172400      1.45e-01      4.57e-03    3.8e-04
 172500      1.22e-01      3.87e-03    3.8e-04
 172600      1.31e-01      4.15e-03    3.8e-04
 172700      1.15e-01      3.62e-03    3.8e-04
 172800      1.36e-01      4.31e-03    3.8e-04
 172900      1.33e-01      4.21e-03    3.8e-04
 173000      1.51e-01      4.79e-03    3.8e-04
 173100      1.28e-01      4.06e-03    3.8e-04
 173200      1.28e-01      4.06e-03    3.8e-04
 173300      1.40e-01      4.42e-03    3.8e-04
 173400      1.51e-01      4.79e-03    3.8e-04
 173500      1.20e-01      3.81e-03    3.8e-04
 173600      1.26e-01      4.00e-03    3.8e-04
 173700      1.25e-01      3.96e-03    3.8e-04
 173800      1.42e-01      4.50e-03    3.8e-04
 173900      1.47e-01      4.64e-03    3.8e-04
 174000      1.33e-01      4.21e-03    3.8e-04
 174100      1.32e-01      4.16e-03    3.8e-04
 174200      1.54e-01      4.88e-03    3.8e-04
 174300      1.58e-01      4.99e-03    3.8e-04
 174400      1.46e-01      4.63e-03    3.8e-04
 174500      1.35e-01      4.28e-03    3.8e-04
 174600      1.64e-01      5.20e-03    3.8e-04
 174700      1.34e-01      4.23e-03    3.8e-04
 174800      1.21e-01      3.82e-03    3.8e-04
 174900      1.62e-01      5.11e-03    3.8e-04
 175000      1.21e-01      3.83e-03    3.7e-04
 175100      1.16e-01      3.68e-03    3.7e-04
 175200      1.03e-01      3.27e-03    3.7e-04
 175300      1.38e-01      4.38e-03    3.7e-04
 175400      1.10e-01      3.47e-03    3.7e-04
 175500      1.32e-01      4.17e-03    3.7e-04
 175600      1.44e-01      4.54e-03    3.7e-04
 175700      1.18e-01      3.72e-03    3.7e-04
 175800      1.05e-01      3.32e-03    3.7e-04
 175900      1.41e-01      4.47e-03    3.7e-04
 176000      1.24e-01      3.93e-03    3.7e-04
 176100      1.36e-01      4.31e-03    3.7e-04
 176200      1.42e-01      4.48e-03    3.7e-04
 176300      1.43e-01      4.53e-03    3.7e-04
 176400      1.05e-01      3.32e-03    3.7e-04
 176500      1.17e-01      3.70e-03    3.7e-04
 176600      1.53e-01      4.84e-03    3.7e-04
 176700      1.54e-01      4.86e-03    3.7e-04
 176800      1.17e-01      3.70e-03    3.7e-04
 176900      1.29e-01      4.09e-03    3.7e-04
 177000      1.42e-01      4.47e-03    3.7e-04
 177100      1.68e-01      5.30e-03    3.7e-04
 177200      1.43e-01      4.51e-03    3.7e-04
 177300      1.27e-01      4.03e-03    3.7e-04
 177400      1.12e-01      3.55e-03    3.7e-04
 177500      1.35e-01      4.26e-03    3.7e-04
 177600      1.37e-01      4.33e-03    3.7e-04
 177700      1.51e-01      4.76e-03    3.7e-04
 177800      1.46e-01      4.61e-03    3.7e-04
 177900      1.57e-01      4.98e-03    3.7e-04
 178000      1.31e-01      4.13e-03    3.7e-04
 178100      1.49e-01      4.72e-03    3.7e-04
 178200      1.43e-01      4.53e-03    3.7e-04
 178300      1.31e-01      4.14e-03    3.7e-04
 178400      1.34e-01      4.23e-03    3.7e-04
 178500      1.49e-01      4.71e-03    3.7e-04
 178600      1.08e-01      3.43e-03    3.7e-04
 178700      1.24e-01      3.92e-03    3.7e-04
 178800      1.11e-01      3.50e-03    3.7e-04
 178900      1.23e-01      3.89e-03    3.7e-04
 179000      1.33e-01      4.22e-03    3.7e-04
 179100      1.27e-01      4.02e-03    3.7e-04
 179200      1.52e-01      4.82e-03    3.7e-04
 179300      1.45e-01      4.59e-03    3.7e-04
 179400      1.52e-01      4.80e-03    3.7e-04
 179500      1.21e-01      3.82e-03    3.7e-04
 179600      1.48e-01      4.68e-03    3.7e-04
 179700      1.55e-01      4.91e-03    3.7e-04
 179800      1.44e-01      4.54e-03    3.7e-04
 179900      1.56e-01      4.95e-03    3.7e-04
 180000      1.16e-01      3.66e-03    3.5e-04
 180100      1.27e-01      4.03e-03    3.5e-04
 180200      1.58e-01      4.98e-03    3.5e-04
 180300      1.27e-01      4.01e-03    3.5e-04
 180400      1.14e-01      3.59e-03    3.5e-04
 180500      1.38e-01      4.37e-03    3.5e-04
 180600      1.46e-01      4.63e-03    3.5e-04
 180700      9.93e-02      3.14e-03    3.5e-04
 180800      1.34e-01      4.23e-03    3.5e-04
 180900      1.15e-01      3.64e-03    3.5e-04
 181000      1.32e-01      4.18e-03    3.5e-04
 181100      1.33e-01      4.22e-03    3.5e-04
 181200      1.64e-01      5.19e-03    3.5e-04
 181300      1.36e-01      4.29e-03    3.5e-04
 181400      1.57e-01      4.98e-03    3.5e-04
 181500      1.09e-01      3.46e-03    3.5e-04
 181600      1.47e-01      4.64e-03    3.5e-04
 181700      1.38e-01      4.35e-03    3.5e-04
 181800      1.28e-01      4.05e-03    3.5e-04
 181900      1.20e-01      3.78e-03    3.5e-04
 182000      1.40e-01      4.42e-03    3.5e-04
 182100      1.09e-01      3.44e-03    3.5e-04
 182200      1.45e-01      4.59e-03    3.5e-04
 182300      1.56e-01      4.93e-03    3.5e-04
 182400      1.42e-01      4.48e-03    3.5e-04
 182500      1.29e-01      4.07e-03    3.5e-04
 182600      1.51e-01      4.77e-03    3.5e-04
 182700      1.24e-01      3.92e-03    3.5e-04
 182800      1.21e-01      3.83e-03    3.5e-04
 182900      1.20e-01      3.80e-03    3.5e-04
 183000      1.27e-01      4.03e-03    3.5e-04
 183100      1.49e-01      4.71e-03    3.5e-04
 183200      1.24e-01      3.91e-03    3.5e-04
 183300      1.43e-01      4.53e-03    3.5e-04
 183400      1.26e-01      4.00e-03    3.5e-04
 183500      1.42e-01      4.49e-03    3.5e-04
 183600      1.56e-01      4.94e-03    3.5e-04
 183700      1.39e-01      4.40e-03    3.5e-04
 183800      1.52e-01      4.82e-03    3.5e-04
 183900      1.13e-01      3.56e-03    3.5e-04
 184000      1.18e-01      3.72e-03    3.5e-04
 184100      1.30e-01      4.11e-03    3.5e-04
 184200      1.16e-01      3.67e-03    3.5e-04
 184300      1.41e-01      4.46e-03    3.5e-04
 184400      1.38e-01      4.37e-03    3.5e-04
 184500      1.40e-01      4.42e-03    3.5e-04
 184600      1.59e-01      5.02e-03    3.5e-04
 184700      1.20e-01      3.79e-03    3.5e-04
 184800      1.18e-01      3.72e-03    3.5e-04
 184900      1.38e-01      4.36e-03    3.5e-04
 185000      1.48e-01      4.67e-03    3.4e-04
 185100      1.33e-01      4.22e-03    3.4e-04
 185200      1.47e-01      4.65e-03    3.4e-04
 185300      1.52e-01      4.81e-03    3.4e-04
 185400      1.17e-01      3.70e-03    3.4e-04
 185500      1.33e-01      4.22e-03    3.4e-04
 185600      1.34e-01      4.25e-03    3.4e-04
 185700      1.09e-01      3.45e-03    3.4e-04
 185800      1.27e-01      4.02e-03    3.4e-04
 185900      1.41e-01      4.46e-03    3.4e-04
 186000      1.53e-01      4.83e-03    3.4e-04
 186100      1.14e-01      3.60e-03    3.4e-04
 186200      1.43e-01      4.53e-03    3.4e-04
 186300      1.15e-01      3.64e-03    3.4e-04
 186400      1.09e-01      3.43e-03    3.4e-04
 186500      1.33e-01      4.21e-03    3.4e-04
 186600      1.19e-01      3.77e-03    3.4e-04
 186700      1.40e-01      4.44e-03    3.4e-04
 186800      1.17e-01      3.71e-03    3.4e-04
 186900      1.52e-01      4.81e-03    3.4e-04
 187000      1.63e-01      5.14e-03    3.4e-04
 187100      1.51e-01      4.79e-03    3.4e-04
 187200      1.09e-01      3.46e-03    3.4e-04
 187300      1.21e-01      3.83e-03    3.4e-04
 187400      9.86e-02      3.12e-03    3.4e-04
 187500      1.48e-01      4.69e-03    3.4e-04
 187600      1.63e-01      5.15e-03    3.4e-04
 187700      1.29e-01      4.08e-03    3.4e-04
 187800      1.24e-01      3.91e-03    3.4e-04
 187900      1.46e-01      4.61e-03    3.4e-04
 188000      1.42e-01      4.48e-03    3.4e-04
 188100      1.31e-01      4.15e-03    3.4e-04
 188200      1.39e-01      4.41e-03    3.4e-04
 188300      1.16e-01      3.67e-03    3.4e-04
 188400      1.23e-01      3.90e-03    3.4e-04
 188500      1.13e-01      3.59e-03    3.4e-04
 188600      1.14e-01      3.59e-03    3.4e-04
 188700      1.10e-01      3.49e-03    3.4e-04
 188800      1.09e-01      3.45e-03    3.4e-04
 188900      1.12e-01      3.53e-03    3.4e-04
 189000      1.38e-01      4.38e-03    3.4e-04
 189100      1.43e-01      4.53e-03    3.4e-04
 189200      1.69e-01      5.35e-03    3.4e-04
 189300      1.08e-01      3.43e-03    3.4e-04
 189400      1.29e-01      4.06e-03    3.4e-04
 189500      1.36e-01      4.29e-03    3.4e-04
 189600      1.21e-01      3.83e-03    3.4e-04
 189700      1.08e-01      3.42e-03    3.4e-04
 189800      1.17e-01      3.69e-03    3.4e-04
 189900      1.40e-01      4.41e-03    3.4e-04
 190000      1.41e-01      4.46e-03    3.3e-04
 190100      1.18e-01      3.75e-03    3.3e-04
 190200      1.49e-01      4.70e-03    3.3e-04
 190300      1.24e-01      3.92e-03    3.3e-04
 190400      1.05e-01      3.33e-03    3.3e-04
 190500      1.12e-01      3.53e-03    3.3e-04
 190600      1.29e-01      4.09e-03    3.3e-04
 190700      1.17e-01      3.71e-03    3.3e-04
 190800      1.39e-01      4.40e-03    3.3e-04
 190900      1.30e-01      4.11e-03    3.3e-04
 191000      1.28e-01      4.05e-03    3.3e-04
 191100      1.43e-01      4.53e-03    3.3e-04
 191200      1.37e-01      4.34e-03    3.3e-04
 191300      1.40e-01      4.44e-03    3.3e-04
 191400      1.09e-01      3.45e-03    3.3e-04
 191500      1.28e-01      4.05e-03    3.3e-04
 191600      1.28e-01      4.03e-03    3.3e-04
 191700      1.46e-01      4.61e-03    3.3e-04
 191800      1.44e-01      4.57e-03    3.3e-04
 191900      1.19e-01      3.76e-03    3.3e-04
 192000      1.37e-01      4.33e-03    3.3e-04
 192100      1.28e-01      4.06e-03    3.3e-04
 192200      1.22e-01      3.87e-03    3.3e-04
 192300      1.42e-01      4.50e-03    3.3e-04
 192400      1.26e-01      3.99e-03    3.3e-04
 192500      1.50e-01      4.74e-03    3.3e-04
 192600      1.22e-01      3.87e-03    3.3e-04
 192700      1.42e-01      4.49e-03    3.3e-04
 192800      1.05e-01      3.33e-03    3.3e-04
 192900      1.12e-01      3.55e-03    3.3e-04
 193000      1.41e-01      4.45e-03    3.3e-04
 193100      1.17e-01      3.71e-03    3.3e-04
 193200      1.45e-01      4.58e-03    3.3e-04
 193300      1.27e-01      4.02e-03    3.3e-04
 193400      1.10e-01      3.48e-03    3.3e-04
 193500      1.24e-01      3.93e-03    3.3e-04
 193600      1.53e-01      4.84e-03    3.3e-04
 193700      1.32e-01      4.17e-03    3.3e-04
 193800      1.37e-01      4.34e-03    3.3e-04
 193900      1.02e-01      3.22e-03    3.3e-04
 194000      1.17e-01      3.70e-03    3.3e-04
 194100      1.62e-01      5.14e-03    3.3e-04
 194200      1.07e-01      3.37e-03    3.3e-04
 194300      1.16e-01      3.68e-03    3.3e-04
 194400      1.35e-01      4.28e-03    3.3e-04
 194500      1.20e-01      3.79e-03    3.3e-04
 194600      1.31e-01      4.15e-03    3.3e-04
 194700      1.48e-01      4.68e-03    3.3e-04
 194800      1.67e-01      5.28e-03    3.3e-04
 194900      1.11e-01      3.51e-03    3.3e-04
 195000      1.38e-01      4.37e-03    3.3e-04
 195100      1.09e-01      3.44e-03    3.3e-04
 195200      1.46e-01      4.63e-03    3.3e-04
 195300      1.20e-01      3.79e-03    3.3e-04
 195400      1.39e-01      4.39e-03    3.3e-04
 195500      1.53e-01      4.85e-03    3.3e-04
 195600      1.43e-01      4.51e-03    3.3e-04
 195700      1.22e-01      3.86e-03    3.3e-04
 195800      1.49e-01      4.71e-03    3.3e-04
 195900      1.02e-01      3.23e-03    3.3e-04
 196000      1.43e-01      4.53e-03    3.3e-04
 196100      1.13e-01      3.56e-03    3.3e-04
 196200      1.52e-01      4.81e-03    3.3e-04
 196300      1.41e-01      4.47e-03    3.3e-04
 196400      1.62e-01      5.12e-03    3.3e-04
 196500      1.45e-01      4.58e-03    3.3e-04
 196600      1.49e-01      4.73e-03    3.3e-04
 196700      1.17e-01      3.71e-03    3.3e-04
 196800      1.43e-01      4.52e-03    3.3e-04
 196900      1.25e-01      3.96e-03    3.3e-04
 197000      1.28e-01      4.04e-03    3.3e-04
 197100      1.27e-01      4.01e-03    3.3e-04
 197200      1.04e-01      3.27e-03    3.3e-04
 197300      1.50e-01      4.74e-03    3.3e-04
 197400      1.54e-01      4.88e-03    3.3e-04
 197500      1.32e-01      4.18e-03    3.3e-04
 197600      1.40e-01      4.44e-03    3.3e-04
 197700      1.19e-01      3.77e-03    3.3e-04
 197800      1.40e-01      4.43e-03    3.3e-04
 197900      1.12e-01      3.54e-03    3.3e-04
 198000      1.30e-01      4.12e-03    3.3e-04
 198100      1.30e-01      4.12e-03    3.3e-04
 198200      1.54e-01      4.88e-03    3.3e-04
 198300      1.53e-01      4.83e-03    3.3e-04
 198400      1.25e-01      3.94e-03    3.3e-04
 198500      1.07e-01      3.39e-03    3.3e-04
 198600      1.42e-01      4.51e-03    3.3e-04
 198700      1.30e-01      4.12e-03    3.3e-04
 198800      1.22e-01      3.87e-03    3.3e-04
 198900      1.19e-01      3.75e-03    3.3e-04
 199000      1.56e-01      4.92e-03    3.3e-04
 199100      1.42e-01      4.48e-03    3.3e-04
 199200      1.52e-01      4.81e-03    3.3e-04
 199300      1.39e-01      4.39e-03    3.3e-04
 199400      1.30e-01      4.10e-03    3.3e-04
