# CO2 Fig3 panel C: chi neglected, single resonant cavity mode
# omega_res = 311.846 meV ; axis = [0, 0, 1] ; nmodes = 10
# col0 = lambda ; cols 1..10 = frequency (meV) ; cols 11..20 = photon character ; cols 21..30 = IR intensity (arb. u.)
0.00000000e+00 -2.06697975e+01 -2.06697975e+01 -2.50725140e-02 -6.80089439e-03 -6.80089434e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11846068e+02 3.11846068e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.48189376e-18 1.80404547e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 2.76882312e-18 1.75134731e-02 0.00000000e+00
1.50150150e-04 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80089433e-03 -6.80089426e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11810292e+02 3.11881848e+02 1.61272628e-17 2.03989635e-17 1.84487194e-08 1.69939064e-18 4.68081592e-18 4.11261480e-36 2.12734360e-20 1.90752996e-17 7.07147343e-01 7.07066217e-01 1.31897184e-18 2.40342248e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.51446250e-20 1.23831852e-02 1.23846060e-02
3.00300300e-04 -2.06697975e+01 -2.06697975e+01 -2.50725143e-02 -6.80089702e-03 -6.80089429e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11774520e+02 3.11917632e+02 4.48906867e-17 6.56642398e-17 3.68974386e-08 6.31117505e-17 5.04606091e-19 7.38627595e-36 3.66791934e-20 1.46257260e-16 7.07187903e-01 7.07025650e-01 1.73698976e-18 1.66591432e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.81052012e-18 1.23824747e-02 1.23853163e-02
4.50450450e-04 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80089669e-03 -6.80089438e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11738752e+02 3.11953421e+02 4.58130696e-17 4.19431040e-17 5.53461579e-08 1.38280305e-17 1.30567131e-19 1.21327941e-35 6.38198651e-20 2.32945384e-17 7.07228461e-01 7.06985081e-01 5.19537219e-19 3.72048743e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 9.43158378e-19 1.23817642e-02 1.23860266e-02
6.00600601e-04 -2.06697975e+01 -2.06697975e+01 -2.50725144e-02 -6.80089701e-03 -6.80089429e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11702988e+02 3.11989214e+02 1.74286406e-16 2.48820605e-17 7.37948774e-08 1.60458609e-17 1.28674677e-19 1.61771124e-35 8.50926368e-20 6.67546438e-17 7.07269016e-01 7.06944509e-01 3.32907757e-18 1.39061421e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 7.61275848e-19 1.23810537e-02 1.23867369e-02
7.50750751e-04 -2.06697975e+01 -2.06697975e+01 -2.50725139e-02 -6.80089433e-03 -6.80089396e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11667228e+02 3.12025010e+02 7.83027864e-18 6.58069976e-17 9.22435967e-08 4.07112496e-18 6.89697832e-17 1.91962595e-35 9.90305051e-20 1.46989575e-17 7.07309569e-01 7.06903935e-01 6.81688870e-19 3.83955513e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 9.43158378e-19 1.23803431e-02 1.23874471e-02
9.00900901e-04 -2.06697975e+01 -2.06697975e+01 -2.50725140e-02 -6.80089434e-03 -6.80089160e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11631472e+02 3.12060811e+02 4.96041562e-17 2.22996242e-16 1.10692316e-07 2.95819357e-19 3.71380087e-17 2.42657280e-35 1.27636740e-19 2.12696071e-17 7.07350119e-01 7.06863359e-01 1.46648393e-18 8.39172080e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 2.67788185e-18 1.23796324e-02 1.23881573e-02
1.05105105e-03 -2.06697975e+01 -2.06697975e+01 -2.50725139e-02 -6.80089463e-03 -6.80089432e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11595721e+02 3.12096616e+02 2.43265888e-16 4.38662370e-17 1.29141035e-07 3.63118988e-17 2.59749559e-18 1.31413040e-35 3.77873382e-20 1.26465044e-17 7.07390667e-01 7.06822781e-01 1.60852137e-18 1.38553952e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 9.43158378e-19 1.23789218e-02 1.23888674e-02
1.20120120e-03 -2.06697975e+01 -2.06697975e+01 -2.50725141e-02 -6.80089491e-03 -6.80089432e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11559973e+02 3.12132425e+02 8.88145331e-18 1.22945343e-16 1.47589755e-07 2.46019466e-16 9.16418871e-18 2.90735603e-35 1.46707910e-19 3.40485251e-17 7.07431213e-01 7.06782200e-01 2.92908899e-18 9.25267859e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.03409964e-18 1.23782111e-02 1.23895775e-02
1.35135135e-03 -2.06697975e+01 -2.06697975e+01 -2.50725139e-02 -6.80089599e-03 -6.80089349e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11524230e+02 3.12168238e+02 1.10256578e-17 1.03319624e-16 1.66038474e-07 2.74787023e-16 1.85417895e-16 5.23842385e-31 5.39228642e-20 1.74217510e-17 7.07471757e-01 7.06741617e-01 2.46678417e-18 1.37595452e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 7.91565098e-19 1.23775003e-02 1.23902876e-02
1.50150150e-03 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80089435e-03 -6.80089431e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11488491e+02 3.12204055e+02 4.16484094e-17 2.11304216e-17 1.84487193e-07 3.78497924e-17 3.31673742e-17 2.96941835e-35 2.12716089e-19 8.31980351e-17 7.07512298e-01 7.06701032e-01 4.05817419e-18 2.25656931e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.71957885e-18 1.23767895e-02 1.23909976e-02
1.65165165e-03 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80089438e-03 -6.80089432e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11452756e+02 3.12239877e+02 2.46830645e-17 5.01220859e-17 2.02935913e-07 2.08179205e-17 5.14273340e-17 2.31089700e-35 1.22862453e-19 8.18405888e-17 7.07552837e-01 7.06660444e-01 1.25993322e-19 1.04889741e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 8.82506363e-19 1.23760787e-02 1.23917076e-02
1.80180180e-03 -2.06697975e+01 -2.06697975e+01 -2.50725140e-02 -6.80089565e-03 -6.80089437e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11417024e+02 3.12275702e+02 2.06660930e-16 3.76200160e-17 2.21384632e-07 3.63657212e-16 6.20032483e-18 4.36090370e-35 2.20044139e-19 5.24617093e-17 7.07593373e-01 7.06619854e-01 1.81490829e-18 5.24719048e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.51446250e-20 1.23753678e-02 1.23924175e-02
1.95195195e-03 -2.06697975e+01 -2.06697975e+01 -2.50725141e-02 -6.80089760e-03 -6.80089435e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11381298e+02 3.12311532e+02 1.95678919e-17 1.01038544e-16 2.39833351e-07 5.34282942e-17 3.58263295e-19 3.74042004e-35 1.65393066e-19 1.30044567e-16 7.07633907e-01 7.06579262e-01 1.68649390e-18 2.27211586e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 6.70334584e-19 1.23746569e-02 1.23931274e-02
2.10210210e-03 -2.06697975e+01 -2.06697975e+01 -2.50725141e-02 -6.80089344e-03 -6.80089285e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11345575e+02 3.12347365e+02 6.67046326e-17 1.05710588e-17 2.58282071e-07 4.23799258e-16 3.37728858e-17 8.17440324e-31 3.44618399e-20 4.20166894e-17 7.07674439e-01 7.06538667e-01 1.16847077e-18 5.80898889e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.74986810e-18 1.23739460e-02 1.23938373e-02
2.25225225e-03 -2.06697975e+01 -2.06697975e+01 -2.50725143e-02 -6.80089438e-03 -6.80089430e-03 7.13254574e+01 7.13254574e+01 1.73372523e+02 3.11309856e+02 3.12383203e+02 3.37748786e-17 1.41617780e-17 2.76730790e-07 2.11048539e-17 7.24265282e-17 5.40959225e-35 4.30161187e-19 4.33391377e-17 7.07714969e-01 7.06498070e-01 3.50598876e-18 1.72595851e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.97027154e-19 1.23732350e-02 1.23945471e-02
