# hBN Fig5 panel D: chi included,  single resonant cavity mode
# omega_res = 165.199 meV ; axis = [1, 0, 0] ; nmodes = 7
# col0 = lambda ; cols 1..7 = frequency (meV) ; cols 8..14 = photon character ; cols 15..21 = IR intensity (arb. u.)
0.00000000e+00 -2.92799521e-02 -3.73048428e-03 -3.73048181e-03 9.92461170e+01 1.65198842e+02 1.65198842e+02 1.65198956e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 7.34359308e-07 5.81655001e-07 5.81654201e-07 2.48915399e-03 2.57576861e-02 0.00000000e+00 2.57577216e-02
1.50150150e-04 -2.92799521e-02 -3.73048507e-03 -3.73048177e-03 9.92461170e+01 1.65146224e+02 1.65198899e+02 1.65251465e+02 8.38778646e-17 1.23711898e-08 7.34204820e-09 5.53711366e-17 7.07641066e-01 1.08076119e-03 7.06571266e-01 7.34359308e-07 5.81654952e-07 5.81654250e-07 2.48915399e-03 1.82235855e-02 2.57576889e-02 1.82033251e-02
3.00300300e-04 -2.92799521e-02 -3.73048515e-03 -3.73048251e-03 9.92461170e+01 1.65093525e+02 1.65198899e+02 1.65304007e+02 8.41285358e-17 2.52378016e-08 1.38152600e-08 2.16827007e-16 7.07890687e-01 5.40380825e-04 7.06321798e-01 7.34359308e-07 5.81654937e-07 5.81654265e-07 2.48915399e-03 1.82410410e-02 2.57577002e-02 1.81858202e-02
4.50450450e-04 -2.92799521e-02 -3.73048534e-03 -3.73048224e-03 9.92461170e+01 1.65040774e+02 1.65198899e+02 1.65356496e+02 3.44066423e-17 2.96208955e-08 3.13874280e-08 1.40663627e-16 7.08203283e-01 3.60253912e-04 7.06008484e-01 7.34359308e-07 5.81655001e-07 5.81654201e-07 2.48915399e-03 1.82568576e-02 2.57577023e-02 1.81699434e-02
6.00600601e-04 -2.92799521e-02 -3.73048492e-03 -3.73048170e-03 9.92461170e+01 1.64987971e+02 1.65198899e+02 1.65408933e+02 1.40793413e-17 3.46132841e-08 4.59690409e-08 1.25087140e-16 7.08531523e-01 2.70190442e-04 7.05679111e-01 7.34359308e-07 5.81654986e-07 5.81654216e-07 2.48915399e-03 1.82722551e-02 2.57577030e-02 1.81544645e-02
7.50750751e-04 -2.92799521e-02 -3.73048578e-03 -3.73048337e-03 9.92461170e+01 1.64935116e+02 1.65198899e+02 1.65461317e+02 4.68274996e-17 6.29889923e-08 3.47302044e-08 5.42003891e-18 7.08865921e-01 2.16152356e-04 7.05343221e-01 7.34359308e-07 5.81654939e-07 5.81654263e-07 2.48915399e-03 1.82874778e-02 2.57577033e-02 1.81391381e-02
9.00900901e-04 -2.92799521e-02 -3.73048507e-03 -3.73048264e-03 9.92461170e+01 1.64882209e+02 1.65198899e+02 1.65513649e+02 1.00017744e-16 6.21986709e-08 5.98464510e-08 9.66700996e-17 7.09203314e-01 1.80126965e-04 7.05003991e-01 7.34359308e-07 5.81655001e-07 5.81654201e-07 2.48915399e-03 1.83026070e-02 2.57577035e-02 1.81238823e-02
1.05105105e-03 -2.92799521e-02 -3.73048522e-03 -3.73048281e-03 9.92461170e+01 1.64829250e+02 1.65198899e+02 1.65565928e+02 2.41547504e-17 8.94913922e-08 4.61729271e-08 1.58576251e-16 7.09542344e-01 1.54394542e-04 7.04662784e-01 7.34359308e-07 5.81654926e-07 5.81654276e-07 2.48915399e-03 1.83176777e-02 2.57577036e-02 1.81086622e-02
1.20120120e-03 -2.92799521e-02 -3.73048497e-03 -3.73048178e-03 9.92461170e+01 1.64776239e+02 1.65198899e+02 1.65618154e+02 7.25558717e-17 8.82777276e-08 7.38374664e-08 2.99729507e-17 7.09882332e-01 1.35095225e-04 7.04320280e-01 7.34359308e-07 5.81654995e-07 5.81654207e-07 2.48915399e-03 1.83327072e-02 2.57577037e-02 1.80934604e-02
1.35135135e-03 -2.92799521e-02 -3.73048449e-03 -3.73048146e-03 9.92461170e+01 1.64723176e+02 1.65198899e+02 1.65670328e+02 9.57665263e-19 8.26567932e-08 9.96542390e-08 6.10002582e-17 7.10222900e-01 1.20084644e-04 7.03976859e-01 7.34359308e-07 5.81654995e-07 5.81654207e-07 2.48915399e-03 1.83477053e-02 2.57577037e-02 1.80782671e-02
