# hBN Fig5 panel B: chi included,  multiple cavity modes (7 harmonics, 3rd resonant)
# omega_res = 165.199 meV ; axis = [1, 0, 0] ; nmodes = 13
# col0 = lambda ; cols 1..13 = frequency (meV) ; cols 14..26 = photon character ; cols 27..39 = IR intensity (arb. u.)
0.00000000e+00 -2.92799521e-02 -3.73048428e-03 -3.73048181e-03 5.50662807e+01 9.92461170e+01 1.10132561e+02 1.65198842e+02 1.65198842e+02 1.65198956e+02 2.20265123e+02 2.75331404e+02 3.30397684e+02 3.85463965e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00 7.34359308e-07 5.81655001e-07 5.81654201e-07 0.00000000e+00 2.48915399e-03 0.00000000e+00 2.57576861e-02 0.00000000e+00 2.57577216e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.50150150e-04 -2.92799519e-02 -3.73048535e-03 -3.73047379e-03 5.50662768e+01 9.92461170e+01 1.10132523e+02 1.65146132e+02 1.65198899e+02 1.65251373e+02 2.20265061e+02 2.75331171e+02 3.30397221e+02 3.85463184e+02 4.45931683e-16 3.21163097e-09 3.79255784e-08 9.99999997e-01 6.11066622e-16 9.99999870e-01 7.07025619e-01 1.08076528e-03 7.07190437e-01 9.99998940e-01 9.99999505e-01 9.99999639e-01 9.99999696e-01 7.34359308e-07 5.81654670e-07 5.81654532e-07 5.80791931e-06 2.48915399e-03 2.81544607e-05 1.82395107e-02 2.57576889e-02 1.81874495e-02 2.26020157e-05 6.82804844e-05 1.13365036e-04 1.63977341e-04
3.00300300e-04 -2.92799521e-02 -3.73048673e-03 -3.73048243e-03 5.50662649e+01 9.92461170e+01 1.10132408e+02 1.65093157e+02 1.65198899e+02 1.65303640e+02 2.20264877e+02 2.75330474e+02 3.30395832e+02 3.85460839e+02 3.33337867e-16 6.71165301e-08 3.59169550e-08 9.99999987e-01 7.57231107e-16 9.99999481e-01 7.06663047e-01 5.40382874e-04 7.07563338e-01 9.99995759e-01 9.99998018e-01 9.99998557e-01 9.99998782e-01 7.34359308e-07 5.81654933e-07 5.81654269e-07 1.16158664e-05 2.48915399e-03 5.63094678e-05 1.82729280e-02 2.57577002e-02 1.81541062e-02 4.52038562e-05 1.36561565e-04 2.26727829e-04 3.27931318e-04
4.50450450e-04 -2.92799522e-02 -3.73048998e-03 -3.73048418e-03 5.50662451e+01 9.92461170e+01 1.10132216e+02 1.65039944e+02 1.65198899e+02 1.65355673e+02 2.20264569e+02 2.75329311e+02 3.30393516e+02 3.85456932e+02 5.88767748e-16 1.08353856e-07 3.60196968e-08 9.99999971e-01 7.10438347e-16 9.99998831e-01 7.06366901e-01 3.60255278e-04 7.07875724e-01 9.99990458e-01 9.99995541e-01 9.99996753e-01 9.99997260e-01 7.34359308e-07 5.81654839e-07 5.81654363e-07 1.74238691e-05 2.48915399e-03 8.44655676e-05 1.83047465e-02 2.57577023e-02 1.81224330e-02 6.78053459e-05 2.04843837e-04 3.40086129e-04 4.91838573e-04
6.00600601e-04 -2.92799520e-02 -3.73048276e-03 -3.73048108e-03 5.50662175e+01 9.92461170e+01 1.10131948e+02 1.64986493e+02 1.65198899e+02 1.65407471e+02 2.20264138e+02 2.75327684e+02 3.30390274e+02 3.85451463e+02 6.87656574e-16 1.07037037e-07 1.08266790e-07 9.99999949e-01 2.06356059e-16 9.99997922e-01 7.06089880e-01 2.70191466e-04 7.08175354e-01 9.99983036e-01 9.99992072e-01 9.99994228e-01 9.99995131e-01 7.34359308e-07 5.81655002e-07 5.81654201e-07 2.32319551e-05 2.48915399e-03 1.12623307e-04 1.83361855e-02 2.57577030e-02 1.80912002e-02 9.04063094e-05 2.73127894e-04 4.53437684e-04 6.55675762e-04
7.50750751e-04 -2.92799518e-02 -3.73048353e-03 -3.73047355e-03 5.50661819e+01 9.92461170e+01 1.10131603e+02 1.64932802e+02 1.65198899e+02 1.65459037e+02 2.20263584e+02 2.75325591e+02 3.30386105e+02 3.85444435e+02 2.47129986e-16 2.09603754e-08 1.89148789e-07 9.99999921e-01 6.90868994e-16 9.99996753e-01 7.05822528e-01 2.16153176e-04 7.08471739e-01 9.99973493e-01 9.99987612e-01 9.99990981e-01 9.99992394e-01 7.34359308e-07 5.81654690e-07 5.81654512e-07 2.90401522e-05 2.48915399e-03 1.40783231e-04 1.83674889e-02 2.57577033e-02 1.80601628e-02 1.13006571e-04 3.41414329e-04 5.66780230e-04 8.19419563e-04
9.00900901e-04 -2.92799522e-02 -3.73048878e-03 -3.73048483e-03 5.50661384e+01 9.92461170e+01 1.10131181e+02 1.64878872e+02 1.65198899e+02 1.65510371e+02 2.20262907e+02 2.75323034e+02 3.30381011e+02 3.85435848e+02 4.80868192e-16 2.17933527e-07 6.82413686e-08 9.99999886e-01 1.96623650e-15 9.99995324e-01 7.05561710e-01 1.80127647e-04 7.08768028e-01 9.99961828e-01 9.99982159e-01 9.99987012e-01 9.99989052e-01 7.34359308e-07 5.81654828e-07 5.81654374e-07 3.48484882e-05 2.48915399e-03 1.68945888e-04 1.83987375e-02 2.57577035e-02 1.80292394e-02 1.35605955e-04 4.09703731e-04 6.80111493e-04 9.83046681e-04
1.05105105e-03 -2.92799521e-02 -3.73048433e-03 -3.73048116e-03 5.50660869e+01 9.92461170e+01 1.10130682e+02 1.64824702e+02 1.65198899e+02 1.65561473e+02 2.20262106e+02 2.75320011e+02 3.30374991e+02 3.85425706e+02 5.58248564e-16 2.21136300e-07 1.48604429e-07 9.99999845e-01 1.49212951e-16 9.99993635e-01 7.05306100e-01 1.54395127e-04 7.09065554e-01 9.99948040e-01 9.99975713e-01 9.99982321e-01 9.99985106e-01 7.34359308e-07 5.81654971e-07 5.81654231e-07 4.06569909e-05 2.48915399e-03 1.97111823e-04 1.84299657e-02 2.57577036e-02 1.79983954e-02 1.58204286e-04 4.77996684e-04 7.93429180e-04 1.14653386e-03
1.20120120e-03 -2.92799523e-02 -3.73048457e-03 -3.73047977e-03 5.50660276e+01 9.92461170e+01 1.10130107e+02 1.64770290e+02 1.65198899e+02 1.65612344e+02 2.20261183e+02 2.75316523e+02 3.30368045e+02 3.85414011e+02 9.08453563e-16 8.15066871e-08 2.93378868e-07 9.99999797e-01 4.46779404e-16 9.99991685e-01 7.05055047e-01 1.35095737e-04 7.09364967e-01 9.99932130e-01 9.99968273e-01 9.99976909e-01 9.99980557e-01 7.34359308e-07 5.81654809e-07 5.81654393e-07 4.64656881e-05 2.48915399e-03 2.25281583e-04 1.84611905e-02 2.57577037e-02 1.79676138e-02 1.80801386e-04 5.46293771e-04 9.06730982e-04 1.30985787e-03
1.35135135e-03 -2.92799521e-02 -3.73048608e-03 -3.73048393e-03 5.50659604e+01 9.92461170e+01 1.10129455e+02 1.64715636e+02 1.65198899e+02 1.65662986e+02 2.20260136e+02 2.75312569e+02 3.30360173e+02 3.85400766e+02 5.21203341e-16 2.45213948e-07 2.39190111e-07 9.99999743e-01 1.32467239e-15 9.99989476e-01 7.04808204e-01 1.20085099e-04 7.09666616e-01 9.99914095e-01 9.99959838e-01 9.99970774e-01 9.99975407e-01 7.34359308e-07 5.81655001e-07 5.81654201e-07 5.22746076e-05 2.48915399e-03 2.53455715e-04 1.84924208e-02 2.57577037e-02 1.79368853e-02 2.03397080e-04 6.14595567e-04 1.02001457e-03 1.47299556e-03
1.50150150e-03 -2.92799522e-02 -3.73048364e-03 -3.73047862e-03 5.50658852e+01 9.92461170e+01 1.10128726e+02 1.64660739e+02 1.65198899e+02 1.65713398e+02 2.20258967e+02 2.75308150e+02 3.30351376e+02 3.85385974e+02 3.92494377e-16 1.74210640e-07 3.38403693e-07 9.99999683e-01 3.34325535e-16 9.99987005e-01 7.04565372e-01 1.08076590e-04 7.09970700e-01 9.99893935e-01 9.99950408e-01 9.99963917e-01 9.99969659e-01 7.34359308e-07 5.81654928e-07 5.81654274e-07 5.80837771e-05 2.48915399e-03 2.81634765e-04 1.85236620e-02 2.57577038e-02 1.79062046e-02 2.25991189e-04 6.82902643e-04 1.13327758e-03 1.63592381e-03
