# hBN Fig5 panel C: chi neglected, single resonant cavity mode
# omega_res = 165.199 meV ; axis = [1, 0, 0] ; nmodes = 7
# col0 = lambda ; cols 1..7 = frequency (meV) ; cols 8..14 = photon character ; cols 15..21 = IR intensity (arb. u.)
0.00000000e+00 -2.92799521e-02 -3.73048428e-03 -3.73048181e-03 9.92461170e+01 1.65198842e+02 1.65198842e+02 1.65198956e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 7.34359308e-07 5.81655001e-07 5.81654201e-07 2.48915399e-03 2.57576861e-02 0.00000000e+00 2.57577216e-02
1.50150150e-04 -2.92799521e-02 -3.73048623e-03 -3.73048302e-03 9.92461170e+01 1.65146259e+02 1.65198899e+02 1.65251499e+02 3.73236634e-17 1.27831103e-08 6.59879539e-09 2.55508419e-16 7.07409156e-01 1.08076117e-03 7.06803451e-01 7.34359308e-07 5.81654927e-07 5.81654276e-07 2.48915399e-03 1.82056552e-02 2.57576889e-02 1.82212568e-02
3.00300300e-04 -2.92799521e-02 -3.73048495e-03 -3.73048219e-03 9.92461170e+01 1.65093663e+02 1.65198899e+02 1.65304145e+02 2.09267678e-17 2.12949012e-08 1.93477446e-08 8.70952720e-17 7.07426956e-01 5.40380819e-04 7.06786255e-01 7.34359308e-07 5.81655000e-07 5.81654203e-07 2.48915399e-03 1.82051963e-02 2.57577002e-02 1.82216993e-02
4.50450450e-04 -2.92799521e-02 -3.73048522e-03 -3.73048326e-03 9.92461170e+01 1.65041085e+02 1.65198899e+02 1.65356807e+02 6.72167811e-17 2.71707129e-08 3.35308880e-08 3.64307506e-17 7.07507883e-01 3.60253908e-04 7.06705360e-01 7.34359308e-07 5.81654993e-07 5.81654209e-07 2.48915399e-03 1.82031097e-02 2.57577023e-02 1.82237808e-02
6.00600601e-04 -2.92799521e-02 -3.73048523e-03 -3.73048250e-03 9.92461170e+01 1.64988523e+02 1.65198899e+02 1.65409486e+02 5.67918941e-17 4.07962311e-08 4.05820118e-08 6.94619690e-17 7.07604604e-01 2.70190438e-04 7.06608556e-01 7.34359308e-07 5.81655002e-07 5.81654201e-07 2.48915399e-03 1.82006152e-02 2.57577030e-02 1.82262711e-02
7.50750751e-04 -2.92799521e-02 -3.73048454e-03 -3.73048244e-03 9.92461170e+01 1.64935978e+02 1.65198899e+02 1.65462182e+02 1.02900208e-16 4.50633759e-08 5.60632892e-08 2.20734085e-17 7.07707638e-01 2.16152354e-04 7.06505380e-01 7.34359308e-07 5.81654993e-07 5.81654210e-07 2.48915399e-03 1.81979572e-02 2.57577033e-02 1.82289246e-02
9.00900901e-04 -2.92799521e-02 -3.73048436e-03 -3.73048160e-03 9.92461170e+01 1.64883450e+02 1.65198899e+02 1.65514894e+02 6.16395393e-17 5.83807473e-08 6.35764162e-08 5.60491130e-17 7.07813819e-01 1.80126963e-04 7.06399012e-01 7.34359308e-07 5.81655000e-07 5.81654202e-07 2.48915399e-03 1.81952171e-02 2.57577035e-02 1.82316593e-02
1.05105105e-03 -2.92799521e-02 -3.73048473e-03 -3.73048228e-03 9.92461170e+01 1.64830939e+02 1.65198899e+02 1.65567624e+02 7.69731748e-17 5.74082851e-08 8.27341361e-08 1.45397047e-16 7.07921793e-01 1.54394540e-04 7.06290812e-01 7.34359308e-07 5.81654977e-07 5.81654225e-07 2.48915399e-03 1.81924300e-02 2.57577036e-02 1.82344403e-02
1.20120120e-03 -2.92799521e-02 -3.73048585e-03 -3.73048269e-03 9.92461170e+01 1.64778444e+02 1.65198899e+02 1.65620370e+02 7.04703964e-18 9.20530498e-08 6.90736176e-08 7.44509504e-17 7.08030879e-01 1.35095223e-04 7.06181461e-01 7.34359308e-07 5.81654985e-07 5.81654217e-07 2.48915399e-03 1.81896132e-02 2.57577037e-02 1.82372500e-02
1.35135135e-03 -2.92799521e-02 -3.73048478e-03 -3.73048199e-03 9.92461170e+01 1.64725966e+02 1.65198899e+02 1.65673133e+02 1.13269182e-17 7.79263392e-08 1.03395350e-07 9.37934764e-17 7.08140701e-01 1.20084643e-04 7.06071337e-01 7.34359308e-07 5.81654987e-07 5.81654216e-07 2.48915399e-03 1.81867766e-02 2.57577037e-02 1.82400787e-02
