# CO2 Fig3 panel A: chi neglected, multiple cavity modes (7 harmonics, 3rd resonant)
# omega_res = 311.846 meV ; axis = [0, 0, 1] ; nmodes = 16
# col0 = lambda ; cols 1..16 = frequency (meV) ; cols 17..32 = photon character ; cols 33..48 = IR intensity (arb. u.)
0.00000000e+00 -2.06697975e+01 -2.06697975e+01 -2.50725140e-02 -6.80089439e-03 -6.80089434e-03 7.13254574e+01 7.13254574e+01 1.03948689e+02 1.73372523e+02 2.07897379e+02 3.11846068e+02 3.11846068e+02 4.15794757e+02 5.19743446e+02 6.23692136e+02 7.27640825e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.48189376e-18 1.80404547e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 0.00000000e+00 2.76882312e-18 0.00000000e+00 1.75134731e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.50150150e-04 -2.06697975e+01 -2.06697975e+01 -2.50725141e-02 -6.80089626e-03 -6.80089531e-03 7.13254574e+01 7.13254574e+01 1.03948689e+02 1.73372523e+02 2.07897374e+02 3.11810269e+02 3.11881826e+02 4.15794782e+02 5.19743468e+02 6.23692157e+02 7.27640848e+02 6.55156709e-16 7.61471223e-16 4.88107226e-08 5.20259002e-17 8.07854534e-17 1.54969301e-16 3.31637129e-24 1.00000000e+00 1.14126016e-15 9.99999983e-01 7.06925187e-01 7.07288760e-01 9.99999862e-01 9.99999936e-01 9.99999953e-01 9.99999960e-01 2.27952966e-18 7.65758597e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 5.02332123e-07 2.52628857e-18 3.21492616e-06 1.23870751e-02 1.23807077e-02 9.18549433e-06 6.27914956e-06 5.35820897e-06 4.92285612e-06
3.00300300e-04 -2.06697975e+01 -2.06697975e+01 -2.50725125e-02 -6.80089439e-03 -6.80089428e-03 7.13254574e+01 7.13254574e+01 1.03948688e+02 1.73372523e+02 2.07897361e+02 3.11774430e+02 3.11917542e+02 4.15794857e+02 5.19743532e+02 6.23692223e+02 7.27640919e+02 9.88382373e-17 2.35155849e-16 9.76214464e-08 5.01106821e-29 2.94257772e-29 8.45431147e-47 9.48291008e-29 9.99999998e-01 9.02624738e-16 9.99999933e-01 7.06743980e-01 7.07471123e-01 9.99999450e-01 9.99999743e-01 9.99999813e-01 9.99999842e-01 2.74416431e-18 2.11588164e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.00466435e-06 5.41979869e-18 6.42985557e-06 1.23902463e-02 1.23775114e-02 1.83709435e-05 1.25582864e-05 1.07164152e-05 9.84571946e-06
4.50450450e-04 -2.06697975e+01 -2.06697975e+01 -2.50725137e-02 -6.80089271e-03 -6.80088851e-03 7.13254574e+01 7.13254574e+01 1.03948686e+02 1.73372523e+02 2.07897339e+02 3.11738549e+02 3.11953218e+02 4.15794982e+02 5.19743639e+02 6.23692333e+02 7.27641036e+02 6.41912270e-16 3.05578242e-16 1.46432169e-07 2.21300771e-16 1.32658906e-17 1.26732636e-29 2.88127616e-16 9.99999996e-01 5.13663490e-16 9.99999848e-01 7.06563160e-01 7.07653869e-01 9.99998762e-01 9.99999422e-01 9.99999579e-01 9.99999644e-01 6.75623070e-19 3.15065869e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 1.50699680e-06 1.53769632e-18 9.64479148e-06 1.23934090e-02 1.23743068e-02 2.75563024e-05 1.88373980e-05 1.60746160e-05 1.47685973e-05
6.00600601e-04 -2.06697975e+01 -2.06697975e+01 -2.50725137e-02 -6.80090070e-03 -6.80088067e-03 7.13254574e+01 7.13254574e+01 1.03948684e+02 1.73372523e+02 2.07897308e+02 3.11702628e+02 3.11988853e+02 4.15795157e+02 5.19743788e+02 6.23692486e+02 7.27641200e+02 2.91244466e-16 6.93107604e-16 1.95242892e-07 8.44431014e-18 8.36406492e-17 1.49326673e-16 1.76351015e-29 9.99999993e-01 5.96908746e-16 9.99999730e-01 7.06382728e-01 7.07836996e-01 9.99997799e-01 9.99998972e-01 9.99999251e-01 9.99999368e-01 1.01082941e-18 1.59877603e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 2.00932957e-06 1.26487253e-18 1.28597372e-05 1.23965633e-02 1.23710938e-02 3.67415259e-05 2.51164716e-05 2.14328086e-05 1.96914967e-05
7.50750751e-04 -2.06697975e+01 -2.06697975e+01 -2.50725130e-02 -6.80090260e-03 -6.80088576e-03 7.13254574e+01 7.13254574e+01 1.03948681e+02 1.73372523e+02 2.07897269e+02 3.11666666e+02 3.12024447e+02 4.15795383e+02 5.19743981e+02 6.23692683e+02 7.27641411e+02 5.40151138e-16 3.71353359e-16 2.44053615e-07 3.94272902e-17 1.62269930e-16 2.11626885e-29 1.12341616e-16 9.99999990e-01 6.74965615e-16 9.99999579e-01 7.06202686e-01 7.08020504e-01 9.99996562e-01 9.99998393e-01 9.99998830e-01 9.99999012e-01 1.53408146e-18 3.66288021e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 2.51166277e-06 1.06085890e-19 1.60746959e-05 1.23997092e-02 1.23678724e-02 4.59265689e-05 3.13954945e-05 2.67909903e-05 2.46144251e-05
9.00900901e-04 -2.06697975e+01 -2.06697975e+01 -2.50725155e-02 -6.80089438e-03 -6.80089433e-03 7.13254574e+01 7.13254574e+01 1.03948677e+02 1.73372523e+02 2.07897221e+02 3.11630663e+02 3.12060000e+02 4.15795658e+02 5.19744216e+02 6.23692924e+02 7.27641670e+02 4.65540001e-16 5.34440143e-16 2.92864339e-07 2.48736534e-16 4.13002490e-16 4.32994911e-21 3.30394912e-19 9.99999985e-01 7.48696885e-16 9.99999393e-01 7.06023035e-01 7.08204392e-01 9.99995049e-01 9.99997686e-01 9.99998315e-01 9.99998578e-01 1.27067828e-18 1.02760373e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 3.01399651e-06 9.43158378e-19 1.92896708e-05 1.24028467e-02 1.23646427e-02 5.51113862e-05 3.76744541e-05 3.21491583e-05 2.95373896e-05
1.05105105e-03 -2.06697975e+01 -2.06697975e+01 -2.50725136e-02 -6.80090788e-03 -6.80090673e-03 7.13254574e+01 7.13254574e+01 1.03948672e+02 1.73372523e+02 2.07897164e+02 3.11594619e+02 3.12095512e+02 4.15795983e+02 5.19744494e+02 6.23693208e+02 7.27641975e+02 1.12377268e-15 1.01506735e-15 3.41675061e-07 8.22276369e-18 2.77524577e-16 2.03129641e-16 3.04649643e-29 9.99999980e-01 7.60411140e-16 9.99999174e-01 7.05843776e-01 7.08388657e-01 9.99993261e-01 9.99996851e-01 9.99997707e-01 9.99998064e-01 1.53620102e-18 4.01399817e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 3.51633089e-06 2.67788185e-18 2.25046653e-05 1.24059758e-02 1.23614047e-02 6.42959326e-05 4.39533377e-05 3.75073099e-05 3.44603975e-05
1.20120120e-03 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80089958e-03 -6.80089905e-03 7.13254574e+01 7.13254574e+01 1.03948667e+02 1.73372523e+02 2.07897098e+02 3.11558535e+02 3.12130983e+02 4.15796358e+02 5.19744815e+02 6.23693537e+02 7.27642327e+02 1.64855001e-16 6.72281042e-16 3.90485784e-07 2.13021248e-17 1.85082323e-16 2.09261737e-16 4.72931502e-23 9.99999974e-01 2.78106679e-16 9.99998922e-01 7.05664910e-01 7.08573300e-01 9.99991198e-01 9.99995887e-01 9.99997005e-01 9.99997472e-01 7.39940027e-19 2.53870343e-19 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 4.01866603e-06 4.41260533e-18 2.57196826e-05 1.24090964e-02 1.23581584e-02 7.34801632e-05 5.02321327e-05 4.28654424e-05 3.93834559e-05
1.35135135e-03 -2.06697975e+01 -2.06697975e+01 -2.50725142e-02 -6.80090093e-03 -6.80089662e-03 7.13254574e+01 7.13254574e+01 1.03948662e+02 1.73372523e+02 2.07897024e+02 3.11522410e+02 3.12166413e+02 4.15796784e+02 5.19745178e+02 6.23693909e+02 7.27642726e+02 2.90753582e-16 1.92785050e-16 4.39296507e-07 7.70886549e-16 1.09061922e-16 2.75654788e-16 3.95921646e-29 9.99999967e-01 3.53279227e-16 9.99998635e-01 7.05486438e-01 7.08758319e-01 9.99988861e-01 9.99994794e-01 9.99996209e-01 9.99996800e-01 2.65497004e-18 1.34115916e-18 1.40808814e-06 3.39725510e-07 3.39725510e-07 3.56292512e-03 3.56292512e-03 4.52100203e-06 3.97510789e-19 2.89347258e-05 1.24122086e-02 1.23549037e-02 8.26640326e-05 5.65108264e-05 4.82235531e-05 4.43065722e-05
