# step       rmse_trn    rmse_e_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 580300      1.52e-01      1.14e-03      2.49e-02    3.5e-05
 580400      1.75e-01      8.03e-04      2.89e-02    3.5e-05
 580500      1.54e-01      1.39e-03      2.52e-02    3.5e-05
 580600      1.83e-01      6.45e-04      3.02e-02    3.5e-05
 580700      1.84e-01      1.17e-03      3.03e-02    3.5e-05
 580800      1.78e-01      4.98e-04      2.94e-02    3.5e-05
 580900      1.57e-01      4.18e-05      2.61e-02    3.5e-05
 581000      1.59e-01      1.13e-03      2.61e-02    3.5e-05
 581100      1.70e-01      4.89e-04      2.81e-02    3.5e-05
 581200      1.66e-01      1.37e-04      2.74e-02    3.5e-05
 581300      1.58e-01      1.79e-04      2.61e-02    3.5e-05
 581400      1.74e-01      9.37e-05      2.88e-02    3.5e-05
 581500      1.61e-01      8.60e-04      2.65e-02    3.5e-05
 581600      1.63e-01      4.73e-04      2.69e-02    3.5e-05
 581700      2.01e-01      8.94e-04      3.31e-02    3.5e-05
 581800      1.70e-01      6.38e-04      2.81e-02    3.5e-05
 581900      1.67e-01      4.10e-04      2.76e-02    3.5e-05
 582000      1.51e-01      1.75e-03      2.43e-02    3.5e-05
 582100      1.79e-01      3.75e-04      2.96e-02    3.5e-05
 582200      1.73e-01      3.57e-04      2.86e-02    3.5e-05
 582300      1.86e-01      6.49e-04      3.07e-02    3.5e-05
 582400      1.59e-01      3.35e-04      2.63e-02    3.5e-05
 582500      1.76e-01      2.04e-03      2.84e-02    3.5e-05
 582600      1.61e-01      1.63e-04      2.67e-02    3.5e-05
 582700      1.62e-01      1.31e-05      2.68e-02    3.5e-05
 582800      1.65e-01      1.70e-03      2.68e-02    3.5e-05
 582900      1.72e-01      6.21e-04      2.84e-02    3.5e-05
 583000      1.82e-01      8.24e-04      3.00e-02    3.5e-05
 583100      1.60e-01      6.68e-05      2.65e-02    3.5e-05
 583200      1.92e-01      5.89e-04      3.17e-02    3.5e-05
 583300      1.68e-01      4.10e-04      2.78e-02    3.5e-05
 583400      1.80e-01      2.47e-03      2.88e-02    3.5e-05
 583500      1.67e-01      8.69e-04      2.75e-02    3.5e-05
 583600      1.91e-01      1.42e-03      3.12e-02    3.5e-05
 583700      1.65e-01      4.30e-04      2.73e-02    3.5e-05
 583800      1.75e-01      5.90e-04      2.90e-02    3.5e-05
 583900      1.80e-01      4.87e-04      2.97e-02    3.5e-05
 584000      1.53e-01      1.22e-04      2.53e-02    3.5e-05
 584100      1.76e-01      7.00e-04      2.90e-02    3.5e-05
 584200      1.77e-01      7.17e-04      2.92e-02    3.5e-05
 584300      1.70e-01      3.89e-04      2.82e-02    3.5e-05
 584400      1.82e-01      1.67e-03      2.96e-02    3.5e-05
 584500      1.86e-01      8.73e-04      3.08e-02    3.5e-05
 584600      1.80e-01      4.59e-05      2.98e-02    3.5e-05
 584700      1.86e-01      2.74e-04      3.08e-02    3.5e-05
 584800      1.77e-01      1.32e-04      2.92e-02    3.5e-05
 584900      1.58e-01      5.39e-04      2.62e-02    3.5e-05
 585000      1.79e-01      8.88e-05      3.01e-02    3.4e-05
 585100      1.50e-01      1.05e-03      2.49e-02    3.4e-05
 585200      2.00e-01      9.19e-04      3.34e-02    3.4e-05
 585300      1.62e-01      1.11e-04      2.72e-02    3.4e-05
 585400      1.58e-01      2.60e-04      2.65e-02    3.4e-05
 585500      1.56e-01      9.15e-04      2.60e-02    3.4e-05
 585600      1.63e-01      5.02e-04      2.73e-02    3.4e-05
 585700      1.60e-01      1.30e-04      2.69e-02    3.4e-05
 585800      1.84e-01      4.97e-04      3.09e-02    3.4e-05
 585900      1.47e-01      1.05e-03      2.44e-02    3.4e-05
 586000      1.56e-01      5.70e-04      2.62e-02    3.4e-05
 586100      1.55e-01      1.29e-03      2.57e-02    3.4e-05
 586200      1.61e-01      7.61e-04      2.70e-02    3.4e-05
 586300      1.73e-01      5.26e-05      2.91e-02    3.4e-05
 586400      1.63e-01      2.24e-04      2.74e-02    3.4e-05
 586500      1.73e-01      8.56e-04      2.90e-02    3.4e-05
 586600      1.70e-01      7.29e-04      2.84e-02    3.4e-05
 586700      1.54e-01      6.42e-04      2.58e-02    3.4e-05
 586800      1.59e-01      7.72e-04      2.67e-02    3.4e-05
 586900      1.73e-01      8.46e-04      2.89e-02    3.4e-05
 587000      2.00e-01      3.20e-05      3.36e-02    3.4e-05
 587100      1.65e-01      1.42e-04      2.77e-02    3.4e-05
 587200      1.59e-01      5.77e-05      2.67e-02    3.4e-05
 587300      1.71e-01      6.08e-04      2.86e-02    3.4e-05
 587400      1.61e-01      1.42e-03      2.67e-02    3.4e-05
 587500      1.78e-01      1.29e-03      2.97e-02    3.4e-05
 587600      1.67e-01      7.98e-04      2.79e-02    3.4e-05
 587700      1.82e-01      4.74e-04      3.06e-02    3.4e-05
 587800      1.67e-01      7.68e-04      2.79e-02    3.4e-05
 587900      1.63e-01      1.32e-03      2.71e-02    3.4e-05
 588000      1.64e-01      3.25e-04      2.75e-02    3.4e-05
 588100      1.44e-01      5.02e-05      2.43e-02    3.4e-05
 588200      1.67e-01      1.67e-03      2.75e-02    3.4e-05
 588300      1.74e-01      1.54e-03      2.87e-02    3.4e-05
 588400      1.67e-01      3.22e-04      2.80e-02    3.4e-05
 588500      1.61e-01      1.69e-03      2.64e-02    3.4e-05
 588600      1.87e-01      9.78e-05      3.14e-02    3.4e-05
 588700      1.55e-01      6.20e-04      2.59e-02    3.4e-05
 588800      1.53e-01      1.10e-03      2.55e-02    3.4e-05
 588900      1.57e-01      9.95e-04      2.61e-02    3.4e-05
 589000      1.70e-01      1.19e-03      2.83e-02    3.4e-05
 589100      1.74e-01      4.97e-04      2.93e-02    3.4e-05
 589200      1.71e-01      6.59e-04      2.87e-02    3.4e-05
 589300      1.71e-01      1.67e-04      2.88e-02    3.4e-05
 589400      1.82e-01      6.93e-04      3.05e-02    3.4e-05
 589500      1.68e-01      5.80e-05      2.82e-02    3.4e-05
 589600      1.52e-01      1.77e-05      2.56e-02    3.4e-05
 589700      1.71e-01      1.34e-04      2.88e-02    3.4e-05
 589800      1.67e-01      1.74e-04      2.81e-02    3.4e-05
 589900      1.81e-01      1.50e-04      3.04e-02    3.4e-05
 590000      1.58e-01      7.26e-04      2.68e-02    3.3e-05
 590100      1.82e-01      7.12e-04      3.10e-02    3.3e-05
 590200      1.74e-01      7.13e-04      2.95e-02    3.3e-05
 590300      1.65e-01      2.64e-05      2.80e-02    3.3e-05
 590400      1.55e-01      8.57e-05      2.64e-02    3.3e-05
 590500      1.97e-01      1.26e-03      3.33e-02    3.3e-05
 590600      1.61e-01      2.40e-03      2.64e-02    3.3e-05
 590700      1.66e-01      8.58e-04      2.81e-02    3.3e-05
 590800      1.61e-01      3.25e-04      2.74e-02    3.3e-05
 590900      1.66e-01      3.83e-04      2.82e-02    3.3e-05
 591000      1.74e-01      7.38e-04      2.95e-02    3.3e-05
 591100      1.86e-01      4.91e-04      3.17e-02    3.3e-05
 591200      1.50e-01      2.52e-04      2.56e-02    3.3e-05
 591300      1.60e-01      1.59e-03      2.68e-02    3.3e-05
 591400      1.61e-01      7.86e-05      2.75e-02    3.3e-05
 591500      1.66e-01      3.02e-04      2.83e-02    3.3e-05
 591600      1.76e-01      2.58e-04      3.00e-02    3.3e-05
 591700      1.50e-01      1.09e-03      2.52e-02    3.3e-05
 591800      1.57e-01      3.64e-04      2.67e-02    3.3e-05
 591900      1.48e-01      1.01e-03      2.50e-02    3.3e-05
 592000      1.66e-01      3.75e-04      2.82e-02    3.3e-05
 592100      1.72e-01      9.29e-04      2.91e-02    3.3e-05
 592200      1.60e-01      2.25e-05      2.72e-02    3.3e-05
 592300      1.59e-01      2.22e-04      2.70e-02    3.3e-05
 592400      1.75e-01      1.01e-03      2.96e-02    3.3e-05
 592500      1.68e-01      4.50e-04      2.86e-02    3.3e-05
 592600      1.55e-01      1.55e-04      2.64e-02    3.3e-05
 592700      1.53e-01      5.27e-05      2.61e-02    3.3e-05
 592800      1.81e-01      4.90e-04      3.08e-02    3.3e-05
 592900      1.64e-01      3.23e-04      2.79e-02    3.3e-05
 593000      1.75e-01      2.80e-04      2.99e-02    3.3e-05
 593100      1.57e-01      4.86e-04      2.67e-02    3.3e-05
 593200      1.71e-01      1.50e-03      2.88e-02    3.3e-05
 593300      1.67e-01      5.09e-04      2.85e-02    3.3e-05
 593400      1.73e-01      5.81e-04      2.95e-02    3.3e-05
 593500      1.85e-01      4.10e-04      3.15e-02    3.3e-05
 593600      1.95e-01      2.59e-04      3.31e-02    3.3e-05
 593700      1.63e-01      9.09e-04      2.77e-02    3.3e-05
 593800      1.69e-01      7.66e-04      2.87e-02    3.3e-05
 593900      1.64e-01      1.10e-03      2.77e-02    3.3e-05
 594000      1.79e-01      7.45e-04      3.03e-02    3.3e-05
 594100      1.39e-01      1.18e-03      2.34e-02    3.3e-05
 594200      1.65e-01      5.27e-04      2.81e-02    3.3e-05
 594300      1.87e-01      1.69e-04      3.19e-02    3.3e-05
 594400      1.50e-01      3.68e-04      2.55e-02    3.3e-05
 594500      1.67e-01      4.08e-05      2.85e-02    3.3e-05
 594600      1.70e-01      3.38e-04      2.89e-02    3.3e-05
 594700      1.66e-01      1.67e-03      2.78e-02    3.3e-05
 594800      1.72e-01      2.21e-04      2.93e-02    3.3e-05
 594900      1.76e-01      2.23e-03      2.90e-02    3.3e-05
 595000      1.53e-01      1.45e-03      2.60e-02    3.3e-05
 595100      1.54e-01      9.65e-04      2.64e-02    3.3e-05
 595200      1.67e-01      1.23e-03      2.86e-02    3.3e-05
 595300      1.50e-01      1.92e-04      2.60e-02    3.3e-05
 595400      1.67e-01      4.39e-04      2.88e-02    3.3e-05
 595500      1.65e-01      5.37e-04      2.84e-02    3.3e-05
 595600      1.50e-01      2.39e-04      2.60e-02    3.3e-05
 595700      1.62e-01      8.75e-04      2.78e-02    3.3e-05
 595800      1.69e-01      3.15e-05      2.91e-02    3.3e-05
 595900      1.80e-01      1.58e-04      3.11e-02    3.3e-05
 596000      1.60e-01      8.26e-04      2.75e-02    3.3e-05
 596100      1.62e-01      4.88e-04      2.80e-02    3.3e-05
 596200      1.67e-01      8.95e-04      2.86e-02    3.3e-05
 596300      1.49e-01      3.55e-04      2.57e-02    3.3e-05
 596400      1.52e-01      2.78e-04      2.62e-02    3.3e-05
 596500      1.68e-01      6.77e-05      2.90e-02    3.3e-05
 596600      1.88e-01      2.17e-04      3.24e-02    3.3e-05
 596700      1.67e-01      1.65e-04      2.89e-02    3.3e-05
 596800      1.60e-01      3.65e-05      2.76e-02    3.3e-05
 596900      1.50e-01      2.06e-03      2.50e-02    3.3e-05
 597000      1.82e-01      5.83e-04      3.13e-02    3.3e-05
 597100      1.83e-01      6.86e-04      3.15e-02    3.3e-05
 597200      1.58e-01      1.47e-03      2.69e-02    3.3e-05
 597300      1.58e-01      1.53e-04      2.74e-02    3.3e-05
 597400      1.65e-01      7.06e-04      2.84e-02    3.3e-05
 597500      1.56e-01      5.38e-04      2.68e-02    3.3e-05
 597600      1.75e-01      9.55e-04      3.00e-02    3.3e-05
 597700      1.65e-01      3.79e-05      2.85e-02    3.3e-05
 597800      1.63e-01      5.15e-04      2.81e-02    3.3e-05
 597900      1.62e-01      2.52e-04      2.80e-02    3.3e-05
 598000      1.58e-01      1.78e-05      2.73e-02    3.3e-05
 598100      1.68e-01      1.72e-04      2.91e-02    3.3e-05
 598200      1.63e-01      2.77e-04      2.81e-02    3.3e-05
 598300      1.71e-01      5.52e-05      2.95e-02    3.3e-05
 598400      1.69e-01      1.68e-03      2.87e-02    3.3e-05
 598500      1.72e-01      3.15e-04      2.97e-02    3.3e-05
 598600      1.59e-01      2.33e-04      2.75e-02    3.3e-05
 598700      1.59e-01      4.40e-04      2.75e-02    3.3e-05
 598800      1.52e-01      3.36e-04      2.63e-02    3.3e-05
 598900      1.51e-01      4.87e-04      2.60e-02    3.3e-05
 599000      1.61e-01      8.81e-05      2.77e-02    3.3e-05
 599100      1.58e-01      6.09e-04      2.72e-02    3.3e-05
 599200      1.69e-01      5.58e-04      2.91e-02    3.3e-05
 599300      1.77e-01      2.42e-04      3.05e-02    3.3e-05
 599400      1.48e-01      1.21e-04      2.56e-02    3.3e-05
 599500      1.64e-01      4.52e-04      2.83e-02    3.3e-05
 599600      1.59e-01      3.24e-04      2.75e-02    3.3e-05
 599700      1.68e-01      1.67e-04      2.91e-02    3.3e-05
 599800      1.55e-01      4.75e-04      2.67e-02    3.3e-05
 599900      1.85e-01      3.65e-04      3.19e-02    3.3e-05
 600000      1.78e-01      7.54e-04      3.10e-02    3.2e-05
 600100      1.64e-01      1.00e-03      2.85e-02    3.2e-05
 600200      1.69e-01      2.16e-04      2.96e-02    3.2e-05
 600300      1.56e-01      1.86e-04      2.73e-02    3.2e-05
 600400      1.80e-01      3.82e-04      3.15e-02    3.2e-05
 600500      1.74e-01      1.53e-03      3.01e-02    3.2e-05
 600600      1.49e-01      9.37e-04      2.60e-02    3.2e-05
 600700      1.72e-01      7.59e-04      3.00e-02    3.2e-05
 600800      1.59e-01      1.66e-03      2.73e-02    3.2e-05
 600900      1.61e-01      7.27e-05      2.83e-02    3.2e-05
 601000      1.51e-01      2.83e-05      2.64e-02    3.2e-05
 601100      1.56e-01      2.29e-04      2.72e-02    3.2e-05
 601200      1.44e-01      9.46e-04      2.50e-02    3.2e-05
 601300      1.57e-01      6.24e-05      2.75e-02    3.2e-05
 601400      1.49e-01      7.72e-04      2.60e-02    3.2e-05
 601500      1.68e-01      9.99e-04      2.92e-02    3.2e-05
 601600      1.76e-01      7.64e-04      3.08e-02    3.2e-05
 601700      1.63e-01      8.89e-04      2.85e-02    3.2e-05
 601800      1.68e-01      4.09e-04      2.94e-02    3.2e-05
 601900      1.75e-01      9.59e-04      3.05e-02    3.2e-05
 602000      1.55e-01      6.26e-04      2.70e-02    3.2e-05
 602100      1.57e-01      8.14e-05      2.75e-02    3.2e-05
 602200      1.48e-01      2.29e-04      2.59e-02    3.2e-05
 602300      1.76e-01      1.04e-03      3.06e-02    3.2e-05
 602400      1.72e-01      2.05e-03      2.92e-02    3.2e-05
 602500      1.58e-01      2.76e-04      2.76e-02    3.2e-05
 602600      1.66e-01      7.95e-04      2.89e-02    3.2e-05
 602700      1.73e-01      1.19e-03      3.01e-02    3.2e-05
 602800      1.62e-01      6.75e-04      2.82e-02    3.2e-05
 602900      1.43e-01      3.54e-04      2.51e-02    3.2e-05
 603000      1.62e-01      4.33e-04      2.83e-02    3.2e-05
 603100      1.54e-01      8.64e-04      2.68e-02    3.2e-05
 603200      1.44e-01      6.86e-04      2.52e-02    3.2e-05
 603300      1.63e-01      1.27e-04      2.86e-02    3.2e-05
 603400      1.66e-01      2.71e-04      2.90e-02    3.2e-05
 603500      1.59e-01      4.87e-04      2.79e-02    3.2e-05
 603600      1.55e-01      3.22e-04      2.72e-02    3.2e-05
 603700      1.71e-01      2.05e-04      2.99e-02    3.2e-05
 603800      1.68e-01      2.64e-04      2.94e-02    3.2e-05
 603900      1.71e-01      9.38e-04      2.98e-02    3.2e-05
 604000      1.62e-01      1.50e-04      2.83e-02    3.2e-05
 604100      1.77e-01      1.25e-03      3.07e-02    3.2e-05
 604200      1.47e-01      8.45e-04      2.56e-02    3.2e-05
 604300      1.46e-01      7.47e-04      2.54e-02    3.2e-05
 604400      1.63e-01      3.44e-04      2.86e-02    3.2e-05
 604500      1.42e-01      9.65e-04      2.46e-02    3.2e-05
 604600      1.48e-01      6.60e-04      2.58e-02    3.2e-05
 604700      1.70e-01      1.07e-03      2.96e-02    3.2e-05
 604800      1.66e-01      6.16e-04      2.90e-02    3.2e-05
 604900      1.51e-01      1.24e-03      2.61e-02    3.2e-05
 605000      1.48e-01      8.44e-05      2.63e-02    3.1e-05
 605100      1.55e-01      1.51e-05      2.76e-02    3.1e-05
 605200      1.49e-01      1.46e-03      2.61e-02    3.1e-05
 605300      1.62e-01      3.13e-04      2.87e-02    3.1e-05
 605400      1.55e-01      1.72e-04      2.75e-02    3.1e-05
 605500      1.59e-01      3.27e-05      2.82e-02    3.1e-05
 605600      1.52e-01      7.85e-04      2.68e-02    3.1e-05
 605700      1.57e-01      3.75e-04      2.78e-02    3.1e-05
 605800      1.40e-01      2.38e-04      2.48e-02    3.1e-05
 605900      1.60e-01      2.70e-05      2.84e-02    3.1e-05
 606000      1.73e-01      7.70e-05      3.07e-02    3.1e-05
 606100      1.67e-01      1.16e-04      2.96e-02    3.1e-05
 606200      1.45e-01      5.08e-04      2.56e-02    3.1e-05
 606300      1.49e-01      7.62e-04      2.63e-02    3.1e-05
 606400      1.57e-01      4.72e-04      2.78e-02    3.1e-05
 606500      1.51e-01      1.46e-04      2.67e-02    3.1e-05
 606600      1.51e-01      7.34e-04      2.67e-02    3.1e-05
 606700      1.36e-01      5.77e-04      2.41e-02    3.1e-05
 606800      1.69e-01      5.73e-05      3.00e-02    3.1e-05
 606900      1.55e-01      1.16e-03      2.72e-02    3.1e-05
 607000      1.42e-01      1.04e-03      2.49e-02    3.1e-05
 607100      1.54e-01      7.09e-04      2.73e-02    3.1e-05
 607200      1.62e-01      1.49e-03      2.83e-02    3.1e-05
 607300      1.58e-01      6.62e-04      2.79e-02    3.1e-05
 607400      1.83e-01      3.08e-04      3.24e-02    3.1e-05
 607500      1.64e-01      7.38e-04      2.90e-02    3.1e-05
 607600      1.58e-01      2.39e-04      2.80e-02    3.1e-05
 607700      1.57e-01      9.71e-04      2.77e-02    3.1e-05
 607800      1.63e-01      1.40e-03      2.85e-02    3.1e-05
 607900      1.49e-01      7.54e-04      2.63e-02    3.1e-05
 608000      1.46e-01      6.58e-04      2.58e-02    3.1e-05
 608100      1.58e-01      8.02e-04      2.80e-02    3.1e-05
 608200      1.59e-01      8.20e-04      2.81e-02    3.1e-05
 608300      1.61e-01      4.25e-04      2.85e-02    3.1e-05
 608400      1.45e-01      1.51e-04      2.57e-02    3.1e-05
 608500      1.61e-01      1.00e-03      2.84e-02    3.1e-05
 608600      1.47e-01      1.94e-04      2.61e-02    3.1e-05
 608700      1.75e-01      9.84e-04      3.08e-02    3.1e-05
 608800      1.54e-01      2.05e-04      2.73e-02    3.1e-05
 608900      1.58e-01      5.33e-04      2.79e-02    3.1e-05
 609000      1.44e-01      5.26e-04      2.55e-02    3.1e-05
 609100      1.53e-01      1.14e-04      2.71e-02    3.1e-05
 609200      1.56e-01      1.30e-03      2.74e-02    3.1e-05
 609300      1.51e-01      6.44e-05      2.67e-02    3.1e-05
 609400      1.72e-01      7.22e-04      3.04e-02    3.1e-05
 609500      1.69e-01      8.05e-04      2.99e-02    3.1e-05
 609600      1.75e-01      5.31e-05      3.11e-02    3.1e-05
 609700      1.71e-01      7.33e-04      3.03e-02    3.1e-05
 609800      1.68e-01      1.47e-03      2.94e-02    3.1e-05
 609900      1.48e-01      2.18e-04      2.63e-02    3.1e-05
 610000      1.69e-01      9.53e-04      3.02e-02    3.0e-05
 610100      1.69e-01      4.39e-04      3.03e-02    3.0e-05
 610200      1.60e-01      6.36e-04      2.87e-02    3.0e-05
 610300      1.62e-01      2.08e-04      2.91e-02    3.0e-05
 610400      1.56e-01      4.76e-06      2.81e-02    3.0e-05
 610500      1.66e-01      4.80e-04      2.98e-02    3.0e-05
 610600      1.56e-01      9.69e-05      2.81e-02    3.0e-05
 610700      1.62e-01      7.83e-04      2.90e-02    3.0e-05
 610800      1.46e-01      3.66e-04      2.63e-02    3.0e-05
 610900      1.47e-01      4.97e-04      2.65e-02    3.0e-05
 611000      1.59e-01      7.28e-04      2.85e-02    3.0e-05
 611100      1.72e-01      6.09e-04      3.09e-02    3.0e-05
 611200      1.65e-01      8.66e-04      2.95e-02    3.0e-05
 611300      1.69e-01      6.58e-04      3.03e-02    3.0e-05
 611400      1.63e-01      4.12e-04      2.92e-02    3.0e-05
 611500      1.54e-01      6.68e-04      2.76e-02    3.0e-05
 611600      1.62e-01      4.76e-04      2.92e-02    3.0e-05
 611700      1.55e-01      6.17e-05      2.79e-02    3.0e-05
 611800      1.67e-01      1.74e-04      3.01e-02    3.0e-05
 611900      1.53e-01      3.05e-04      2.76e-02    3.0e-05
 612000      1.64e-01      1.37e-03      2.91e-02    3.0e-05
 612100      1.50e-01      4.78e-04      2.69e-02    3.0e-05
 612200      1.63e-01      7.65e-05      2.94e-02    3.0e-05
 612300      1.59e-01      3.20e-04      2.85e-02    3.0e-05
 612400      1.52e-01      1.94e-04      2.73e-02    3.0e-05
 612500      1.60e-01      4.62e-04      2.87e-02    3.0e-05
 612600      1.59e-01      3.31e-04      2.86e-02    3.0e-05
 612700      1.50e-01      5.39e-04      2.69e-02    3.0e-05
 612800      1.59e-01      1.06e-03      2.84e-02    3.0e-05
 612900      1.55e-01      5.57e-04      2.78e-02    3.0e-05
 613000      1.44e-01      9.52e-04      2.57e-02    3.0e-05
 613100      1.61e-01      9.61e-05      2.89e-02    3.0e-05
 613200      1.65e-01      2.46e-04      2.97e-02    3.0e-05
 613300      1.51e-01      1.16e-04      2.72e-02    3.0e-05
 613400      1.55e-01      2.28e-04      2.80e-02    3.0e-05
 613500      1.79e-01      8.23e-04      3.21e-02    3.0e-05
 613600      1.66e-01      7.16e-04      2.98e-02    3.0e-05
 613700      1.56e-01      1.86e-03      2.74e-02    3.0e-05
 613800      1.50e-01      3.45e-04      2.70e-02    3.0e-05
 613900      1.53e-01      2.83e-04      2.76e-02    3.0e-05
 614000      1.63e-01      1.71e-04      2.93e-02    3.0e-05
 614100      1.51e-01      7.17e-04      2.72e-02    3.0e-05
 614200      1.55e-01      8.54e-04      2.78e-02    3.0e-05
 614300      1.42e-01      6.25e-04      2.54e-02    3.0e-05
 614400      1.56e-01      9.74e-04      2.79e-02    3.0e-05
 614500      1.72e-01      5.86e-04      3.09e-02    3.0e-05
 614600      1.58e-01      3.78e-04      2.85e-02    3.0e-05
 614700      1.64e-01      7.70e-04      2.94e-02    3.0e-05
 614800      1.46e-01      4.26e-04      2.63e-02    3.0e-05
 614900      1.51e-01      3.61e-04      2.73e-02    3.0e-05
 615000      1.42e-01      9.08e-04      2.57e-02    2.9e-05
 615100      1.47e-01      7.17e-04      2.67e-02    2.9e-05
 615200      1.48e-01      8.06e-04      2.68e-02    2.9e-05
 615300      1.44e-01      6.65e-04      2.62e-02    2.9e-05
 615400      1.52e-01      1.63e-03      2.72e-02    2.9e-05
 615500      1.53e-01      8.50e-04      2.78e-02    2.9e-05
 615600      1.48e-01      1.35e-04      2.70e-02    2.9e-05
 615700      1.48e-01      3.34e-04      2.70e-02    2.9e-05
 615800      1.48e-01      7.66e-04      2.70e-02    2.9e-05
 615900      1.55e-01      1.52e-03      2.78e-02    2.9e-05
 616000      1.63e-01      1.51e-04      2.97e-02    2.9e-05
 616100      1.72e-01      3.42e-04      3.13e-02    2.9e-05
 616200      1.59e-01      9.90e-05      2.91e-02    2.9e-05
 616300      1.54e-01      5.37e-04      2.80e-02    2.9e-05
 616400      1.58e-01      1.03e-03      2.87e-02    2.9e-05
 616500      1.59e-01      3.06e-04      2.90e-02    2.9e-05
 616600      1.51e-01      3.23e-04      2.76e-02    2.9e-05
 616700      1.55e-01      4.02e-04      2.83e-02    2.9e-05
 616800      1.57e-01      1.26e-03      2.83e-02    2.9e-05
 616900      1.67e-01      6.38e-04      3.03e-02    2.9e-05
 617000      1.42e-01      7.34e-04      2.57e-02    2.9e-05
 617100      1.59e-01      1.33e-03      2.87e-02    2.9e-05
 617200      1.55e-01      1.17e-03      2.81e-02    2.9e-05
 617300      1.58e-01      2.28e-05      2.89e-02    2.9e-05
 617400      1.58e-01      1.98e-04      2.88e-02    2.9e-05
 617500      1.52e-01      2.92e-05      2.77e-02    2.9e-05
 617600      1.64e-01      5.33e-04      2.98e-02    2.9e-05
 617700      1.54e-01      3.40e-04      2.81e-02    2.9e-05
 617800      1.46e-01      4.83e-04      2.67e-02    2.9e-05
 617900      1.52e-01      1.22e-03      2.75e-02    2.9e-05
 618000      1.56e-01      8.86e-04      2.83e-02    2.9e-05
 618100      1.71e-01      5.75e-04      3.12e-02    2.9e-05
 618200      1.52e-01      8.26e-05      2.78e-02    2.9e-05
 618300      1.54e-01      1.45e-03      2.76e-02    2.9e-05
 618400      1.72e-01      2.61e-04      3.14e-02    2.9e-05
 618500      1.69e-01      4.30e-04      3.09e-02    2.9e-05
 618600      1.38e-01      1.09e-03      2.49e-02    2.9e-05
 618700      1.41e-01      6.82e-04      2.56e-02    2.9e-05
 618800      1.70e-01      3.11e-04      3.11e-02    2.9e-05
 618900      1.44e-01      9.04e-04      2.61e-02    2.9e-05
 619000      1.46e-01      2.16e-04      2.66e-02    2.9e-05
 619100      1.51e-01      2.50e-04      2.75e-02    2.9e-05
 619200      1.54e-01      5.46e-04      2.80e-02    2.9e-05
 619300      1.52e-01      6.96e-04      2.77e-02    2.9e-05
 619400      1.51e-01      1.25e-03      2.72e-02    2.9e-05
 619500      1.45e-01      9.85e-04      2.63e-02    2.9e-05
 619600      1.50e-01      8.53e-04      2.72e-02    2.9e-05
 619700      1.49e-01      2.58e-04      2.71e-02    2.9e-05
 619800      1.62e-01      1.38e-05      2.96e-02    2.9e-05
 619900      1.75e-01      9.99e-04      3.17e-02    2.9e-05
 620000      1.52e-01      7.27e-04      2.80e-02    2.8e-05
 620100      1.45e-01      6.04e-04      2.69e-02    2.8e-05
 620200      1.56e-01      5.59e-04      2.88e-02    2.8e-05
 620300      1.66e-01      3.33e-04      3.08e-02    2.8e-05
 620400      1.47e-01      1.71e-05      2.72e-02    2.8e-05
 620500      1.54e-01      3.50e-04      2.84e-02    2.8e-05
 620600      1.47e-01      4.48e-04      2.72e-02    2.8e-05
 620700      1.48e-01      5.40e-04      2.74e-02    2.8e-05
 620800      1.39e-01      2.14e-04      2.57e-02    2.8e-05
 620900      1.74e-01      5.74e-05      3.21e-02    2.8e-05
 621000      1.57e-01      6.99e-05      2.90e-02    2.8e-05
 621100      1.37e-01      4.77e-05      2.54e-02    2.8e-05
 621200      1.60e-01      5.09e-05      2.97e-02    2.8e-05
 621300      1.50e-01      9.86e-04      2.76e-02    2.8e-05
 621400      1.54e-01      6.03e-04      2.84e-02    2.8e-05
 621500      1.49e-01      1.83e-03      2.67e-02    2.8e-05
 621600      1.47e-01      1.13e-03      2.70e-02    2.8e-05
 621700      1.71e-01      7.03e-04      3.16e-02    2.8e-05
 621800      1.57e-01      6.69e-04      2.90e-02    2.8e-05
 621900      1.49e-01      5.92e-04      2.76e-02    2.8e-05
 622000      1.49e-01      6.28e-04      2.74e-02    2.8e-05
 622100      1.38e-01      1.15e-03      2.52e-02    2.8e-05
 622200      1.73e-01      9.54e-05      3.21e-02    2.8e-05
 622300      1.51e-01      7.62e-04      2.78e-02    2.8e-05
 622400      1.40e-01      1.02e-04      2.59e-02    2.8e-05
 622500      1.37e-01      8.63e-04      2.52e-02    2.8e-05
 622600      1.55e-01      4.68e-04      2.87e-02    2.8e-05
 622700      1.56e-01      5.93e-04      2.88e-02    2.8e-05
 622800      1.49e-01      3.83e-04      2.75e-02    2.8e-05
 622900      1.66e-01      1.70e-03      3.01e-02    2.8e-05
 623000      1.37e-01      2.63e-04      2.53e-02    2.8e-05
 623100      1.60e-01      2.53e-04      2.96e-02    2.8e-05
 623200      1.34e-01      4.46e-04      2.48e-02    2.8e-05
 623300      1.44e-01      3.68e-04      2.66e-02    2.8e-05
 623400      1.40e-01      2.21e-04      2.59e-02    2.8e-05
 623500      1.52e-01      1.53e-03      2.77e-02    2.8e-05
 623600      1.83e-01      9.50e-04      3.36e-02    2.8e-05
 623700      1.64e-01      1.88e-04      3.04e-02    2.8e-05
