# step       rmse_trn    rmse_e_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   9800      2.22e+00      9.87e-03      7.12e-02    9.7e-04
   9900      2.40e+00      4.68e-03      7.71e-02    9.7e-04
  10000      1.21e+00      4.41e-03      3.94e-02    9.4e-04
  10100      1.65e+00      2.30e-03      5.38e-02    9.4e-04
  10200      1.80e+00      5.58e-04      5.85e-02    9.4e-04
  10300      1.59e+00      1.38e-02      5.17e-02    9.4e-04
  10400      1.40e+00      4.00e-03      4.55e-02    9.4e-04
  10500      3.98e+00      4.40e-04      1.30e-01    9.4e-04
  10600      1.95e+00      9.39e-04      6.35e-02    9.4e-04
  10700      1.62e+00      2.21e-02      5.27e-02    9.4e-04
  10800      1.66e+00      7.48e-03      5.41e-02    9.4e-04
  10900      1.48e+00      9.36e-03      4.80e-02    9.4e-04
  11000      2.73e+00      3.66e-02      8.87e-02    9.4e-04
  11100      3.34e+00      1.28e-02      1.09e-01    9.4e-04
  11200      1.65e+00      2.62e-03      5.37e-02    9.4e-04
  11300      2.55e+00      8.43e-04      8.30e-02    9.4e-04
  11400      1.49e+00      1.39e-02      4.85e-02    9.4e-04
  11500      1.43e+00      9.87e-03      4.64e-02    9.4e-04
  11600      1.30e+00      5.33e-03      4.23e-02    9.4e-04
  11700      1.60e+00      2.14e-02      5.19e-02    9.4e-04
  11800      1.75e+00      4.70e-03      5.70e-02    9.4e-04
  11900      1.56e+00      3.65e-03      5.06e-02    9.4e-04
  12000      1.90e+00      7.56e-03      6.18e-02    9.4e-04
  12100      1.69e+00      3.74e-03      5.50e-02    9.4e-04
  12200      1.77e+00      9.68e-03      5.77e-02    9.4e-04
  12300      1.55e+00      1.04e-02      5.03e-02    9.4e-04
  12400      1.66e+00      1.12e-02      5.39e-02    9.4e-04
  12500      1.81e+00      1.33e-02      5.88e-02    9.4e-04
  12600      1.84e+00      9.44e-05      6.00e-02    9.4e-04
  12700      2.08e+00      5.02e-03      6.78e-02    9.4e-04
  12800      2.50e+00      1.85e-02      8.13e-02    9.4e-04
  12900      1.60e+00      8.31e-03      5.20e-02    9.4e-04
  13000      2.17e+00      1.14e-03      7.07e-02    9.4e-04
  13100      1.73e+00      1.46e-02      5.62e-02    9.4e-04
  13200      1.48e+00      1.53e-02      4.81e-02    9.4e-04
  13300      3.78e+00      6.64e-02      1.22e-01    9.4e-04
  13400      1.25e+00      7.33e-03      4.08e-02    9.4e-04
  13500      3.15e+00      2.07e-02      1.03e-01    9.4e-04
  13600      1.33e+00      2.40e-03      4.33e-02    9.4e-04
  13700      2.38e+00      3.79e-02      7.71e-02    9.4e-04
  13800      1.81e+00      1.24e-02      5.87e-02    9.4e-04
  13900      1.36e+00      1.30e-03      4.42e-02    9.4e-04
  14000      1.71e+00      1.29e-02      5.55e-02    9.4e-04
  14100      1.17e+00      1.10e-02      3.79e-02    9.4e-04
  14200      1.47e+00      5.29e-03      4.79e-02    9.4e-04
  14300      1.55e+00      1.07e-02      5.03e-02    9.4e-04
  14400      1.63e+00      3.41e-03      5.30e-02    9.4e-04
  14500      2.01e+00      3.71e-02      6.50e-02    9.4e-04
  14600      1.59e+00      6.99e-03      5.17e-02    9.4e-04
  14700      2.55e+00      2.57e-02      8.28e-02    9.4e-04
  14800      2.04e+00      5.54e-02      6.57e-02    9.4e-04
  14900      2.30e+00      4.27e-03      7.47e-02    9.4e-04
  15000      1.69e+00      1.45e-02      5.56e-02    9.2e-04
  15100      2.35e+00      1.34e-03      7.75e-02    9.2e-04
  15200      1.75e+00      9.03e-03      5.77e-02    9.2e-04
  15300      1.77e+00      1.59e-02      5.83e-02    9.2e-04
  15400      1.70e+00      1.22e-02      5.61e-02    9.2e-04
  15500      1.23e+00      2.08e-02      4.04e-02    9.2e-04
  15600      1.16e+00      1.87e-03      3.83e-02    9.2e-04
  15700      1.37e+00      7.00e-03      4.53e-02    9.2e-04
  15800      1.12e+00      4.23e-03      3.70e-02    9.2e-04
  15900      1.46e+00      3.24e-02      4.79e-02    9.2e-04
  16000      1.45e+00      1.45e-02      4.79e-02    9.2e-04
  16100      1.96e+00      2.00e-02      6.47e-02    9.2e-04
  16200      1.76e+00      2.43e-03      5.81e-02    9.2e-04
  16300      1.61e+00      4.36e-03      5.31e-02    9.2e-04
  16400      1.87e+00      4.40e-03      6.18e-02    9.2e-04
  16500      1.24e+00      1.10e-02      4.08e-02    9.2e-04
  16600      1.40e+00      1.08e-02      4.63e-02    9.2e-04
  16700      2.93e+00      2.09e-02      9.68e-02    9.2e-04
  16800      1.51e+00      1.51e-04      4.99e-02    9.2e-04
  16900      2.16e+00      1.21e-02      7.11e-02    9.2e-04
  17000      1.16e+00      1.12e-03      3.82e-02    9.2e-04
  17100      1.88e+00      8.94e-03      6.20e-02    9.2e-04
  17200      1.34e+00      7.50e-03      4.42e-02    9.2e-04
  17300      1.11e+00      4.62e-03      3.66e-02    9.2e-04
  17400      1.17e+00      6.59e-03      3.85e-02    9.2e-04
  17500      1.82e+00      3.52e-02      5.95e-02    9.2e-04
  17600      2.43e+00      7.97e-03      8.02e-02    9.2e-04
  17700      1.31e+00      2.41e-02      4.32e-02    9.2e-04
  17800      1.50e+00      2.62e-03      4.95e-02    9.2e-04
  17900      1.39e+00      9.78e-03      4.58e-02    9.2e-04
  18000      1.97e+00      3.12e-02      6.48e-02    9.2e-04
  18100      1.43e+00      1.48e-02      4.72e-02    9.2e-04
  18200      1.16e+00      1.93e-03      3.82e-02    9.2e-04
  18300      1.29e+00      1.03e-02      4.25e-02    9.2e-04
  18400      2.79e+00      2.77e-02      9.19e-02    9.2e-04
  18500      1.46e+00      7.05e-03      4.83e-02    9.2e-04
  18600      1.57e+00      5.70e-03      5.17e-02    9.2e-04
  18700      1.45e+00      5.64e-03      4.79e-02    9.2e-04
  18800      2.60e+00      2.40e-02      8.59e-02    9.2e-04
  18900      1.73e+00      7.69e-03      5.71e-02    9.2e-04
  19000      1.49e+00      1.41e-02      4.91e-02    9.2e-04
  19100      2.26e+00      1.23e-02      7.47e-02    9.2e-04
  19200      1.37e+00      7.45e-03      4.52e-02    9.2e-04
  19300      1.50e+00      1.20e-02      4.95e-02    9.2e-04
  19400      1.68e+00      4.09e-04      5.56e-02    9.2e-04
  19500      1.68e+00      1.49e-02      5.54e-02    9.2e-04
  19600      1.04e+00      1.40e-02      3.42e-02    9.2e-04
  19700      1.70e+00      2.80e-02      5.57e-02    9.2e-04
  19800      1.48e+00      2.55e-03      4.87e-02    9.2e-04
  19900      2.12e+00      1.05e-02      6.99e-02    9.2e-04
  20000      1.28e+00      3.18e-03      4.27e-02    8.9e-04
  20100      1.93e+00      1.92e-02      6.45e-02    8.9e-04
  20200      1.32e+00      7.03e-03      4.41e-02    8.9e-04
  20300      1.09e+00      3.26e-03      3.66e-02    8.9e-04
  20400      1.34e+00      6.41e-03      4.50e-02    8.9e-04
  20500      1.44e+00      4.68e-03      4.84e-02    8.9e-04
  20600      1.23e+00      1.07e-02      4.11e-02    8.9e-04
  20700      2.39e+00      4.10e-03      8.00e-02    8.9e-04
  20800      1.92e+00      1.59e-02      6.41e-02    8.9e-04
  20900      1.33e+00      3.58e-04      4.44e-02    8.9e-04
  21000      1.65e+00      1.12e-03      5.52e-02    8.9e-04
  21100      1.59e+00      8.71e-03      5.33e-02    8.9e-04
  21200      1.75e+00      3.54e-03      5.85e-02    8.9e-04
  21300      1.50e+00      1.95e-02      5.00e-02    8.9e-04
  21400      1.60e+00      1.05e-02      5.35e-02    8.9e-04
  21500      1.70e+00      1.36e-03      5.69e-02    8.9e-04
  21600      1.64e+00      2.35e-03      5.50e-02    8.9e-04
  21700      1.43e+00      3.43e-02      4.71e-02    8.9e-04
  21800      1.42e+00      5.49e-03      4.76e-02    8.9e-04
  21900      1.57e+00      1.40e-02      5.25e-02    8.9e-04
  22000      1.43e+00      1.24e-03      4.80e-02    8.9e-04
  22100      1.49e+00      6.02e-03      4.98e-02    8.9e-04
  22200      1.10e+00      1.97e-02      3.67e-02    8.9e-04
  22300      1.41e+00      3.88e-03      4.74e-02    8.9e-04
  22400      1.99e+00      7.63e-02      6.43e-02    8.9e-04
  22500      1.32e+00      1.60e-03      4.43e-02    8.9e-04
  22600      1.36e+00      2.30e-02      4.52e-02    8.9e-04
  22700      1.37e+00      4.22e-03      4.59e-02    8.9e-04
  22800      2.78e+00      1.85e-02      9.29e-02    8.9e-04
  22900      1.63e+00      1.45e-02      5.44e-02    8.9e-04
  23000      1.12e+00      2.12e-02      3.72e-02    8.9e-04
