# step       rmse_trn   rmse_gl_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  12600      1.80e-01      1.30e-02    9.4e-04
  12700      1.90e-01      1.37e-02    9.4e-04
  12800      1.60e-01      1.15e-02    9.4e-04
  12900      2.82e-01      2.04e-02    9.4e-04
  13000      1.57e-01      1.13e-02    9.4e-04
  13100      5.82e-02      4.20e-03    9.4e-04
  13200      7.27e-02      5.25e-03    9.4e-04
  13300      1.08e-01      7.79e-03    9.4e-04
  13400      1.58e-01      1.14e-02    9.4e-04
  13500      1.86e-01      1.34e-02    9.4e-04
  13600      1.42e-01      1.02e-02    9.4e-04
  13700      8.58e-02      6.20e-03    9.4e-04
  13800      9.87e-02      7.12e-03    9.4e-04
  13900      1.51e-01      1.09e-02    9.4e-04
  14000      1.30e-01      9.41e-03    9.4e-04
  14100      9.81e-02      7.08e-03    9.4e-04
  14200      1.76e-01      1.27e-02    9.4e-04
  14300      2.58e-01      1.86e-02    9.4e-04
  14400      1.32e-01      9.55e-03    9.4e-04
  14500      7.73e-02      5.58e-03    9.4e-04
  14600      1.45e-01      1.05e-02    9.4e-04
  14700      1.34e-01      9.67e-03    9.4e-04
  14800      9.73e-02      7.02e-03    9.4e-04
  14900      9.39e-02      6.77e-03    9.4e-04
  15000      1.83e-01      1.32e-02    9.2e-04
  15100      1.77e-01      1.28e-02    9.2e-04
  15200      1.27e-01      9.16e-03    9.2e-04
  15300      1.84e-01      1.33e-02    9.2e-04
  15400      1.13e-01      8.18e-03    9.2e-04
  15500      1.54e-01      1.11e-02    9.2e-04
  15600      8.57e-02      6.18e-03    9.2e-04
  15700      1.87e-01      1.35e-02    9.2e-04
  15800      1.69e-01      1.22e-02    9.2e-04
  15900      1.05e-01      7.61e-03    9.2e-04
  16000      1.18e-01      8.55e-03    9.2e-04
  16100      1.45e-01      1.05e-02    9.2e-04
  16200      2.12e-01      1.53e-02    9.2e-04
  16300      8.74e-02      6.31e-03    9.2e-04
  16400      1.69e-01      1.22e-02    9.2e-04
  16500      2.40e-01      1.73e-02    9.2e-04
  16600      9.79e-02      7.07e-03    9.2e-04
  16700      1.36e-01      9.81e-03    9.2e-04
  16800      1.81e-01      1.31e-02    9.2e-04
  16900      2.41e-01      1.74e-02    9.2e-04
  17000      1.92e-01      1.39e-02    9.2e-04
  17100      1.63e-01      1.18e-02    9.2e-04
  17200      1.61e-01      1.16e-02    9.2e-04
  17300      1.82e-01      1.31e-02    9.2e-04
  17400      1.27e-01      9.19e-03    9.2e-04
  17500      1.86e-01      1.34e-02    9.2e-04
  17600      2.13e-01      1.54e-02    9.2e-04
  17700      1.82e-01      1.31e-02    9.2e-04
  17800      2.45e-01      1.77e-02    9.2e-04
  17900      1.39e-01      1.00e-02    9.2e-04
  18000      1.16e-01      8.36e-03    9.2e-04
  18100      9.68e-02      6.98e-03    9.2e-04
  18200      1.02e-01      7.34e-03    9.2e-04
  18300      2.13e-01      1.54e-02    9.2e-04
  18400      8.94e-02      6.45e-03    9.2e-04
  18500      2.13e-01      1.54e-02    9.2e-04
  18600      1.61e-01      1.16e-02    9.2e-04
  18700      1.54e-01      1.11e-02    9.2e-04
  18800      1.41e-01      1.02e-02    9.2e-04
  18900      1.40e-01      1.01e-02    9.2e-04
  19000      2.68e-01      1.93e-02    9.2e-04
  19100      6.94e-02      5.01e-03    9.2e-04
  19200      1.46e-01      1.05e-02    9.2e-04
  19300      1.27e-01      9.16e-03    9.2e-04
  19400      6.60e-02      4.76e-03    9.2e-04
  19500      1.48e-01      1.07e-02    9.2e-04
  19600      1.43e-01      1.03e-02    9.2e-04
  19700      1.84e-01      1.33e-02    9.2e-04
  19800      1.35e-01      9.76e-03    9.2e-04
  19900      6.62e-02      4.78e-03    9.2e-04
  20000      1.60e-01      1.16e-02    8.9e-04
  20100      1.30e-01      9.38e-03    8.9e-04
  20200      8.94e-02      6.45e-03    8.9e-04
  20300      1.16e-01      8.36e-03    8.9e-04
  20400      2.16e-01      1.56e-02    8.9e-04
  20500      1.88e-01      1.36e-02    8.9e-04
  20600      9.82e-02      7.09e-03    8.9e-04
  20700      1.65e-01      1.19e-02    8.9e-04
  20800      8.77e-02      6.33e-03    8.9e-04
  20900      9.47e-02      6.83e-03    8.9e-04
  21000      1.62e-01      1.17e-02    8.9e-04
  21100      1.09e-01      7.87e-03    8.9e-04
  21200      8.16e-02      5.89e-03    8.9e-04
  21300      1.25e-01      9.04e-03    8.9e-04
  21400      1.26e-01      9.07e-03    8.9e-04
  21500      1.88e-01      1.35e-02    8.9e-04
  21600      1.14e-01      8.22e-03    8.9e-04
  21700      1.19e-01      8.61e-03    8.9e-04
  21800      1.93e-01      1.40e-02    8.9e-04
  21900      1.44e-01      1.04e-02    8.9e-04
  22000      1.66e-01      1.20e-02    8.9e-04
  22100      1.07e-01      7.70e-03    8.9e-04
  22200      8.68e-02      6.26e-03    8.9e-04
  22300      7.05e-02      5.09e-03    8.9e-04
  22400      9.63e-02      6.95e-03    8.9e-04
  22500      1.51e-01      1.09e-02    8.9e-04
  22600      7.24e-02      5.23e-03    8.9e-04
  22700      1.65e-01      1.19e-02    8.9e-04
  22800      2.24e-01      1.62e-02    8.9e-04
  22900      1.55e-01      1.12e-02    8.9e-04
  23000      9.95e-02      7.18e-03    8.9e-04
  23100      1.37e-01      9.89e-03    8.9e-04
  23200      1.36e-01      9.81e-03    8.9e-04
  23300      1.12e-01      8.09e-03    8.9e-04
  23400      1.31e-01      9.45e-03    8.9e-04
  23500      1.02e-01      7.37e-03    8.9e-04
  23600      1.25e-01      9.00e-03    8.9e-04
  23700      1.12e-01      8.11e-03    8.9e-04
  23800      1.18e-01      8.49e-03    8.9e-04
  23900      1.46e-01      1.05e-02    8.9e-04
  24000      1.94e-01      1.40e-02    8.9e-04
  24100      1.05e-01      7.55e-03    8.9e-04
  24200      7.68e-02      5.54e-03    8.9e-04
  24300      1.05e-01      7.58e-03    8.9e-04
  24400      7.25e-02      5.23e-03    8.9e-04
  24500      9.22e-02      6.65e-03    8.9e-04
  24600      1.04e-01      7.47e-03    8.9e-04
  24700      1.02e-01      7.33e-03    8.9e-04
  24800      6.41e-02      4.62e-03    8.9e-04
  24900      1.78e-01      1.28e-02    8.9e-04
  25000      2.82e-01      2.03e-02    8.7e-04
  25100      8.44e-02      6.09e-03    8.7e-04
  25200      1.29e-01      9.29e-03    8.7e-04
  25300      1.72e-01      1.24e-02    8.7e-04
  25400      8.28e-02      5.97e-03    8.7e-04
  25500      9.97e-02      7.20e-03    8.7e-04
  25600      1.84e-01      1.33e-02    8.7e-04
  25700      1.96e-01      1.41e-02    8.7e-04
  25800      1.40e-01      1.01e-02    8.7e-04
  25900      1.15e-01      8.31e-03    8.7e-04
  26000      1.50e-01      1.08e-02    8.7e-04
  26100      1.25e-01      9.01e-03    8.7e-04
  26200      1.44e-01      1.04e-02    8.7e-04
  26300      1.28e-01      9.24e-03    8.7e-04
  26400      1.28e-01      9.26e-03    8.7e-04
  26500      8.95e-02      6.46e-03    8.7e-04
  26600      9.64e-02      6.96e-03    8.7e-04
  26700      1.52e-01      1.10e-02    8.7e-04
  26800      2.51e-01      1.81e-02    8.7e-04
  26900      1.78e-01      1.28e-02    8.7e-04
  27000      1.24e-01      8.95e-03    8.7e-04
  27100      1.41e-01      1.02e-02    8.7e-04
  27200      7.43e-02      5.36e-03    8.7e-04
  27300      1.69e-01      1.22e-02    8.7e-04
  27400      1.54e-01      1.11e-02    8.7e-04
  27500      1.26e-01      9.06e-03    8.7e-04
  27600      1.61e-01      1.16e-02    8.7e-04
  27700      9.12e-02      6.58e-03    8.7e-04
  27800      1.30e-01      9.41e-03    8.7e-04
  27900      1.10e-01      7.91e-03    8.7e-04
  28000      1.06e-01      7.67e-03    8.7e-04
  28100      1.47e-01      1.06e-02    8.7e-04
  28200      1.25e-01      9.02e-03    8.7e-04
  28300      7.80e-02      5.63e-03    8.7e-04
  28400      1.26e-01      9.10e-03    8.7e-04
  28500      1.13e-01      8.13e-03    8.7e-04
  28600      1.26e-01      9.13e-03    8.7e-04
  28700      1.18e-01      8.52e-03    8.7e-04
  28800      1.02e-01      7.37e-03    8.7e-04
  28900      1.20e-01      8.64e-03    8.7e-04
  29000      1.04e-01      7.49e-03    8.7e-04
  29100      1.75e-01      1.26e-02    8.7e-04
  29200      2.15e-01      1.55e-02    8.7e-04
  29300      1.36e-01      9.82e-03    8.7e-04
  29400      8.63e-02      6.23e-03    8.7e-04
  29500      1.73e-01      1.25e-02    8.7e-04
  29600      1.37e-01      9.85e-03    8.7e-04
  29700      1.70e-01      1.23e-02    8.7e-04
  29800      1.42e-01      1.02e-02    8.7e-04
  29900      1.25e-01      9.00e-03    8.7e-04
  30000      6.88e-02      4.96e-03    8.4e-04
  30100      1.09e-01      7.86e-03    8.4e-04
  30200      9.69e-02      6.99e-03    8.4e-04
  30300      1.97e-01      1.42e-02    8.4e-04
  30400      9.25e-02      6.67e-03    8.4e-04
  30500      7.44e-02      5.37e-03    8.4e-04
  30600      1.03e-01      7.44e-03    8.4e-04
  30700      2.07e-01      1.49e-02    8.4e-04
  30800      7.39e-02      5.34e-03    8.4e-04
  30900      8.53e-02      6.16e-03    8.4e-04
  31000      1.18e-01      8.53e-03    8.4e-04
  31100      1.14e-01      8.23e-03    8.4e-04
  31200      1.45e-01      1.04e-02    8.4e-04
  31300      1.22e-01      8.82e-03    8.4e-04
  31400      9.85e-02      7.11e-03    8.4e-04
  31500      1.90e-01      1.37e-02    8.4e-04
  31600      9.35e-02      6.74e-03    8.4e-04
  31700      8.65e-02      6.24e-03    8.4e-04
  31800      8.70e-02      6.28e-03    8.4e-04
  31900      8.17e-02      5.89e-03    8.4e-04
  32000      9.47e-02      6.84e-03    8.4e-04
  32100      1.33e-01      9.60e-03    8.4e-04
  32200      6.02e-02      4.34e-03    8.4e-04
  32300      1.05e-01      7.60e-03    8.4e-04
  32400      1.27e-01      9.17e-03    8.4e-04
  32500      1.32e-01      9.53e-03    8.4e-04
  32600      1.37e-01      9.89e-03    8.4e-04
  32700      1.06e-01      7.62e-03    8.4e-04
  32800      1.45e-01      1.05e-02    8.4e-04
  32900      1.68e-01      1.21e-02    8.4e-04
  33000      1.59e-01      1.15e-02    8.4e-04
  33100      1.74e-01      1.26e-02    8.4e-04
  33200      1.91e-01      1.38e-02    8.4e-04
  33300      1.60e-01      1.16e-02    8.4e-04
  33400      5.97e-02      4.31e-03    8.4e-04
  33500      1.47e-01      1.06e-02    8.4e-04
  33600      1.60e-01      1.15e-02    8.4e-04
  33700      6.39e-02      4.61e-03    8.4e-04
  33800      7.37e-02      5.32e-03    8.4e-04
  33900      1.47e-01      1.06e-02    8.4e-04
  34000      1.58e-01      1.14e-02    8.4e-04
  34100      8.20e-02      5.92e-03    8.4e-04
  34200      7.22e-02      5.21e-03    8.4e-04
  34300      1.74e-01      1.26e-02    8.4e-04
  34400      1.06e-01      7.63e-03    8.4e-04
  34500      1.53e-01      1.10e-02    8.4e-04
  34600      6.47e-02      4.67e-03    8.4e-04
  34700      1.14e-01      8.22e-03    8.4e-04
  34800      8.16e-02      5.89e-03    8.4e-04
  34900      7.59e-02      5.48e-03    8.4e-04
  35000      1.45e-01      1.04e-02    8.2e-04
  35100      1.35e-01      9.75e-03    8.2e-04
  35200      1.35e-01      9.73e-03    8.2e-04
  35300      1.12e-01      8.11e-03    8.2e-04
  35400      2.40e-01      1.73e-02    8.2e-04
  35500      1.11e-01      8.04e-03    8.2e-04
  35600      9.93e-02      7.17e-03    8.2e-04
  35700      1.11e-01      8.01e-03    8.2e-04
  35800      7.92e-02      5.71e-03    8.2e-04
  35900      1.14e-01      8.24e-03    8.2e-04
  36000      9.29e-02      6.71e-03    8.2e-04
  36100      1.88e-01      1.36e-02    8.2e-04
  36200      1.07e-01      7.71e-03    8.2e-04
  36300      6.29e-02      4.54e-03    8.2e-04
  36400      8.18e-02      5.91e-03    8.2e-04
  36500      8.20e-02      5.91e-03    8.2e-04
  36600      1.43e-01      1.03e-02    8.2e-04
  36700      7.76e-02      5.60e-03    8.2e-04
  36800      9.15e-02      6.60e-03    8.2e-04
  36900      1.50e-01      1.08e-02    8.2e-04
  37000      1.83e-01      1.32e-02    8.2e-04
  37100      1.53e-01      1.10e-02    8.2e-04
  37200      6.72e-02      4.85e-03    8.2e-04
  37300      1.01e-01      7.26e-03    8.2e-04
  37400      1.18e-01      8.53e-03    8.2e-04
  37500      1.73e-01      1.25e-02    8.2e-04
  37600      1.29e-01      9.30e-03    8.2e-04
  37700      1.08e-01      7.80e-03    8.2e-04
  37800      1.02e-01      7.33e-03    8.2e-04
  37900      9.71e-02      7.01e-03    8.2e-04
  38000      1.15e-01      8.30e-03    8.2e-04
  38100      1.24e-01      8.93e-03    8.2e-04
  38200      1.69e-01      1.22e-02    8.2e-04
  38300      7.99e-02      5.77e-03    8.2e-04
  38400      1.14e-01      8.22e-03    8.2e-04
  38500      1.12e-01      8.07e-03    8.2e-04
  38600      9.32e-02      6.72e-03    8.2e-04
  38700      1.41e-01      1.02e-02    8.2e-04
  38800      1.14e-01      8.26e-03    8.2e-04
  38900      1.14e-01      8.25e-03    8.2e-04
  39000      1.33e-01      9.58e-03    8.2e-04
  39100      1.21e-01      8.71e-03    8.2e-04
  39200      1.13e-01      8.18e-03    8.2e-04
  39300      1.13e-01      8.17e-03    8.2e-04
  39400      1.76e-01      1.27e-02    8.2e-04
  39500      1.60e-01      1.16e-02    8.2e-04
  39600      9.43e-02      6.81e-03    8.2e-04
  39700      1.49e-01      1.07e-02    8.2e-04
  39800      1.12e-01      8.08e-03    8.2e-04
  39900      7.46e-02      5.38e-03    8.2e-04
  40000      1.59e-01      1.15e-02    7.9e-04
  40100      1.29e-01      9.31e-03    7.9e-04
  40200      1.49e-01      1.07e-02    7.9e-04
  40300      4.79e-02      3.46e-03    7.9e-04
  40400      1.27e-01      9.16e-03    7.9e-04
  40500      1.22e-01      8.81e-03    7.9e-04
  40600      5.68e-02      4.10e-03    7.9e-04
  40700      1.06e-01      7.62e-03    7.9e-04
  40800      1.29e-01      9.31e-03    7.9e-04
  40900      9.38e-02      6.77e-03    7.9e-04
  41000      1.61e-01      1.16e-02    7.9e-04
  41100      1.28e-01      9.23e-03    7.9e-04
  41200      1.78e-01      1.28e-02    7.9e-04
  41300      4.83e-02      3.49e-03    7.9e-04
  41400      1.77e-01      1.28e-02    7.9e-04
  41500      9.44e-02      6.81e-03    7.9e-04
  41600      8.63e-02      6.23e-03    7.9e-04
  41700      1.13e-01      8.16e-03    7.9e-04
  41800      2.44e-01      1.76e-02    7.9e-04
  41900      7.61e-02      5.49e-03    7.9e-04
  42000      6.46e-02      4.66e-03    7.9e-04
  42100      1.45e-01      1.05e-02    7.9e-04
  42200      1.13e-01      8.15e-03    7.9e-04
  42300      1.19e-01      8.60e-03    7.9e-04
  42400      1.20e-01      8.68e-03    7.9e-04
  42500      1.12e-01      8.11e-03    7.9e-04
  42600      1.34e-01      9.65e-03    7.9e-04
  42700      1.09e-01      7.88e-03    7.9e-04
  42800      8.65e-02      6.24e-03    7.9e-04
  42900      1.53e-01      1.11e-02    7.9e-04
  43000      8.60e-02      6.20e-03    7.9e-04
  43100      1.18e-01      8.51e-03    7.9e-04
  43200      1.53e-01      1.10e-02    7.9e-04
  43300      1.62e-01      1.17e-02    7.9e-04
  43400      1.16e-01      8.37e-03    7.9e-04
  43500      1.71e-01      1.24e-02    7.9e-04
  43600      1.40e-01      1.01e-02    7.9e-04
  43700      8.63e-02      6.23e-03    7.9e-04
  43800      1.42e-01      1.03e-02    7.9e-04
  43900      1.82e-01      1.31e-02    7.9e-04
  44000      9.88e-02      7.13e-03    7.9e-04
  44100      1.53e-01      1.10e-02    7.9e-04
  44200      1.62e-01      1.17e-02    7.9e-04
  44300      5.44e-02      3.92e-03    7.9e-04
  44400      7.24e-02      5.23e-03    7.9e-04
  44500      1.05e-01      7.56e-03    7.9e-04
  44600      1.23e-01      8.91e-03    7.9e-04
  44700      9.08e-02      6.55e-03    7.9e-04
  44800      8.08e-02      5.83e-03    7.9e-04
  44900      1.07e-01      7.69e-03    7.9e-04
  45000      1.12e-01      8.11e-03    7.7e-04
  45100      1.07e-01      7.75e-03    7.7e-04
  45200      2.07e-01      1.50e-02    7.7e-04
  45300      9.44e-02      6.81e-03    7.7e-04
  45400      1.15e-01      8.27e-03    7.7e-04
  45500      1.12e-01      8.07e-03    7.7e-04
  45600      1.25e-01      9.02e-03    7.7e-04
  45700      8.57e-02      6.18e-03    7.7e-04
  45800      1.02e-01      7.37e-03    7.7e-04
  45900      1.05e-01      7.57e-03    7.7e-04
  46000      1.30e-01      9.37e-03    7.7e-04
  46100      8.09e-02      5.84e-03    7.7e-04
  46200      1.22e-01      8.83e-03    7.7e-04
  46300      8.77e-02      6.33e-03    7.7e-04
  46400      1.25e-01      9.00e-03    7.7e-04
  46500      1.70e-01      1.22e-02    7.7e-04
  46600      1.41e-01      1.02e-02    7.7e-04
  46700      1.15e-01      8.30e-03    7.7e-04
  46800      1.18e-01      8.49e-03    7.7e-04
  46900      1.11e-01      8.02e-03    7.7e-04
  47000      8.37e-02      6.04e-03    7.7e-04
  47100      1.06e-01      7.68e-03    7.7e-04
  47200      9.86e-02      7.11e-03    7.7e-04
  47300      1.37e-01      9.85e-03    7.7e-04
  47400      8.77e-02      6.33e-03    7.7e-04
  47500      1.10e-01      7.95e-03    7.7e-04
  47600      9.96e-02      7.19e-03    7.7e-04
  47700      6.65e-02      4.80e-03    7.7e-04
  47800      5.25e-02      3.79e-03    7.7e-04
  47900      1.99e-01      1.44e-02    7.7e-04
  48000      9.69e-02      7.00e-03    7.7e-04
  48100      1.38e-01      9.95e-03    7.7e-04
  48200      6.52e-02      4.70e-03    7.7e-04
  48300      2.19e-01      1.58e-02    7.7e-04
  48400      1.15e-01      8.29e-03    7.7e-04
  48500      9.08e-02      6.56e-03    7.7e-04
  48600      5.32e-02      3.84e-03    7.7e-04
  48700      1.14e-01      8.21e-03    7.7e-04
  48800      1.16e-01      8.41e-03    7.7e-04
  48900      1.03e-01      7.46e-03    7.7e-04
  49000      4.90e-02      3.54e-03    7.7e-04
  49100      1.34e-01      9.70e-03    7.7e-04
  49200      1.70e-01      1.23e-02    7.7e-04
  49300      8.59e-02      6.20e-03    7.7e-04
  49400      8.90e-02      6.42e-03    7.7e-04
  49500      8.09e-02      5.84e-03    7.7e-04
  49600      5.29e-02      3.82e-03    7.7e-04
  49700      8.15e-02      5.88e-03    7.7e-04
  49800      9.28e-02      6.70e-03    7.7e-04
  49900      5.23e-02      3.78e-03    7.7e-04
  50000      8.54e-02      6.16e-03    7.5e-04
  50100      7.89e-02      5.69e-03    7.5e-04
  50200      1.13e-01      8.16e-03    7.5e-04
  50300      5.37e-02      3.87e-03    7.5e-04
  50400      1.18e-01      8.50e-03    7.5e-04
  50500      4.96e-02      3.58e-03    7.5e-04
  50600      6.74e-02      4.86e-03    7.5e-04
  50700      1.15e-01      8.33e-03    7.5e-04
  50800      9.28e-02      6.70e-03    7.5e-04
  50900      1.01e-01      7.31e-03    7.5e-04
  51000      7.58e-02      5.47e-03    7.5e-04
  51100      1.59e-01      1.15e-02    7.5e-04
  51200      5.07e-02      3.66e-03    7.5e-04
  51300      1.68e-01      1.22e-02    7.5e-04
  51400      2.26e-01      1.63e-02    7.5e-04
  51500      1.34e-01      9.69e-03    7.5e-04
  51600      8.53e-02      6.16e-03    7.5e-04
  51700      1.76e-01      1.27e-02    7.5e-04
  51800      1.27e-01      9.15e-03    7.5e-04
  51900      5.39e-02      3.89e-03    7.5e-04
  52000      1.56e-01      1.12e-02    7.5e-04
  52100      8.78e-02      6.34e-03    7.5e-04
  52200      1.36e-01      9.78e-03    7.5e-04
  52300      1.47e-01      1.06e-02    7.5e-04
  52400      1.09e-01      7.84e-03    7.5e-04
  52500      1.57e-01      1.13e-02    7.5e-04
  52600      2.38e-01      1.72e-02    7.5e-04
  52700      1.26e-01      9.11e-03    7.5e-04
  52800      9.74e-02      7.03e-03    7.5e-04
  52900      4.40e-02      3.18e-03    7.5e-04
  53000      6.08e-02      4.38e-03    7.5e-04
  53100      1.30e-01      9.35e-03    7.5e-04
  53200      7.56e-02      5.46e-03    7.5e-04
  53300      9.74e-02      7.03e-03    7.5e-04
  53400      7.62e-02      5.50e-03    7.5e-04
  53500      1.06e-01      7.67e-03    7.5e-04
  53600      1.29e-01      9.31e-03    7.5e-04
  53700      5.08e-02      3.67e-03    7.5e-04
